meleagris_gallopavo ENSMGAG00000007643
coturnix_japonica ENSCJPG00005011619
gallus_gallus ENSGALG00000042227
numida_meleagris ENSNMEG00000001823
anas_platyrhynchos_platyrhynchos ENSAPLG00000029767
calidris_pygmaea ENSCPGG00000001006
calidris_pugnax ENSCPUG00000011378
taeniopygia_guttata ENSTGUG00000003551
lonchura_striata_domestica ENSLSDG00000008012
serinus_canaria ENSSCAG00000015772
ficedula_albicollis ENSFALG00000000061
cyanistes_caeruleus ENSCCEG00000012266
parus_major ENSPMJG00000015572
manacus_vitellinus ENSMVIG00005010061
dromaius_novaehollandiae ENSDNVG00000016060
chrysemys_picta_bellii ENSCPBG00000001364
gopherus_agassizii ENSGAGG00000013626
chrysemys_picta_bellii ENSCPBG00000023245
pelodiscus_sinensis ENSPSIG00000007063
