monopterus_albus ENSMALG00000004355
mastacembelus_armatus ENSMAMG00000000475
seriola_dumerili ENSSDUG00000011781
cynoglossus_semilaevis ENSCSEG00000011337
poecilia_mexicana ENSPMEG00000003081
poecilia_latipinna ENSPLAG00000019729
poecilia_reticulata ENSPREG00000013815
xiphophorus_couchianus ENSXCOG00000016618
fundulus_heteroclitus ENSFHEG00000016023
pundamilia_nyererei ENSPNYG00000013773
haplochromis_burtoni ENSHBUG00000011316
neolamprologus_brichardi ENSNBRG00000009741
periophthalmus_magnuspinnatus ENSPMGG00000016910
