myotis_lucifugus ENSMLUG00000028534
pteropus_vampyrus ENSPVAG00000005038
ailuropoda_melanoleuca ENSAMEG00000017436
ursus_maritimus ENSUMAG00000013998
neovison_vison ENSNVIG00000020332
mustela_putorius_furo ENSMPUG00000013351
canis_lupus_dingo ENSCAFG00020001972
canis_lupus_familiaris ENSCAFG00000007359
vulpes_vulpes ENSVVUG00000006427
panthera_pardus ENSPPRG00000008803
panthera_tigris_altaica ENSPTIG00000016752
felis_catus ENSFCAG00000027258
sorex_araneus ENSSARG00000011320
equus_caballus ENSECAG00000000194
equus_asinus_asinus ENSEASG00005022826
bos_taurus ENSBTAG00000007167
bos_mutus ENSBMUG00000018795
bison_bison_bison ENSBBBG00000013559
capra_hircus ENSCHIG00000022250
ovis_aries ENSOARG00000014118
tursiops_truncatus ENSTTRG00000003346
sus_scrofa ENSSSCG00000009568
vicugna_pacos ENSVPAG00000003937
pan_paniscus ENSPPAG00000034895
pan_troglodytes ENSPTRG00000005679
gorilla_gorilla ENSGGOG00000022435
pongo_abelii ENSPPYG00000005187
nomascus_leucogenys ENSNLEG00000001352
theropithecus_gelada ENSTGEG00000017541
papio_anubis ENSPANG00000004694
macaca_mulatta ENSMMUG00000001920
cercocebus_atys ENSCATG00000035024
chlorocebus_sabaeus ENSCSAG00000018100
rhinopithecus_bieti ENSRBIG00000037855
rhinopithecus_roxellana ENSRROG00000044339
colobus_angolensis_palliatus ENSCANG00000034365
piliocolobus_tephrosceles ENSPTEG00000013096
macaca_nemestrina ENSMNEG00000028165
mandrillus_leucophaeus ENSMLEG00000043101
homo_sapiens ENSG00000132950
callithrix_jacchus ENSCJAG00000004584
saimiri_boliviensis_boliviensis ENSSBOG00000027165
cebus_capucinus ENSCCAG00000031521
aotus_nancymaae ENSANAG00000020820
carlito_syrichta ENSTSYG00000029837
propithecus_coquereli ENSPCOG00000000658
prolemur_simus ENSPSMG00000021914
microcebus_murinus ENSMICG00000012322
mus_spicilegus ENSMSIG00000005074
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020233
mus_musculus ENSMUSG00000040123
mus_pahari MGP_PahariEiJ_G0030360
rattus_norvegicus ENSRNOG00000029220
meriones_unguiculatus ENSMUGG00000025094
cricetulus_griseus_crigri-picr ENSCGRG00015013196
cricetulus_griseus_chok1gshd ENSCGRG00001006520
cricetulus_griseus_crigri ENSCGRG00000008092
cricetulus_griseus_crigri-picr ENSCGRG00015028487
mesocricetus_auratus ENSMAUG00000019317
microtus_ochrogaster ENSMOCG00000001655
peromyscus_maniculatus_bairdii ENSPEMG00000016467
nannospalax_galili ENSNGAG00000013371
jaculus_jaculus ENSJJAG00000019107
castor_canadensis ENSCCNG00000008771
ictidomys_tridecemlineatus ENSSTOG00000026074
urocitellus_parryii ENSUPAG00010018804
spermophilus_dauricus ENSSDAG00000002379
heterocephalus_glaber_female ENSHGLG00000017994
heterocephalus_glaber_male ENSHGLG00100011826
fukomys_damarensis ENSFDAG00000005791
chinchilla_lanigera ENSCLAG00000005323
octodon_degus ENSODEG00000007655
cavia_porcellus ENSCPOG00000002138
cavia_aperea ENSCAPG00000005893
dipodomys_ordii ENSDORG00000024933
oryctolagus_cuniculus ENSOCUG00000013877
loxodonta_africana ENSLAFG00000003204
procavia_capensis ENSPCAG00000008707
echinops_telfairi ENSETEG00000007956
dasypus_novemcinctus ENSDNOG00000017909
choloepus_hoffmanni ENSCHOG00000008940
