astatotilapia_calliptera ENSACLG00000011521
haplochromis_burtoni ENSHBUG00000022469
maylandia_zebra ENSMZEG00005027662
poecilia_reticulata ENSPREG00000018206
xiphophorus_couchianus ENSXCOG00000013218
poecilia_latipinna ENSPLAG00000000199
poecilia_mexicana ENSPMEG00000017032
cyprinodon_variegatus ENSCVAG00000014234
fundulus_heteroclitus ENSFHEG00000022951
amphiprion_percula ENSAPEG00000012910
acanthochromis_polyacanthus ENSAPOG00000018977
larimichthys_crocea ENSLCRG00005012738
amphilophus_citrinellus ENSACIG00000021006
mola_mola ENSMMOG00000010470
takifugu_rubripes ENSTRUG00000024665
cottoperca_gobio ENSCGOG00000016385
monopterus_albus ENSMALG00000004321
amphiprion_ocellaris ENSAOCG00000016040
amphiprion_ocellaris ENSAOCG00000004571
gouania_willdenowi ENSGWIG00000024965
seriola_lalandi ENSSLDG00000020195
stegastes_partitus ENSSPAG00000005875
parambassis_ranga ENSPRNG00000021620
neolamprologus_brichardi ENSNBRG00000020450
lates_calcarifer ENSLCAG00010013323
labrus_bergylta ENSLBEG00000007722
betta_splendens ENSBSLG00000022848
periophthalmus_magnuspinnatus ENSPMGG00000010371
