bos_taurus ENSBTAG00000031519
bos_mutus ENSBMUG00000015303
bison_bison_bison ENSBBBG00000003892
capra_hircus ENSCHIG00000010192
ovis_aries ENSOARG00000004151
sus_scrofa ENSSSCG00000011334
myotis_lucifugus ENSMLUG00000030515
myotis_lucifugus ENSMLUG00000029618
equus_asinus_asinus ENSEASG00005008195
equus_caballus ENSECAG00000024563
spermophilus_dauricus ENSSDAG00000004442
marmota_marmota_marmota ENSMMMG00000006140
ictidomys_tridecemlineatus ENSSTOG00000026334
urocitellus_parryii ENSUPAG00010017093
castor_canadensis ENSCCNG00000019946
mus_spicilegus ENSMSIG00000024635
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033879
mus_musculus ENSMUSG00000032484
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032731
mus_pahari MGP_PahariEiJ_G0015598
rattus_norvegicus ENSRNOG00000024330
meriones_unguiculatus ENSMUGG00000011118
cricetulus_griseus_crigri-picr ENSCGRG00015017266
cricetulus_griseus_crigri-picr ENSCGRG00015017195
cricetulus_griseus_crigri ENSCGRG00000016351
cricetulus_griseus_chok1gshd ENSCGRG00001013112
cricetulus_griseus_chok1gshd ENSCGRG00001015649
cricetulus_griseus_crigri ENSCGRG00000010096
mesocricetus_auratus ENSMAUG00000017976
peromyscus_maniculatus_bairdii ENSPEMG00000008056
nannospalax_galili ENSNGAG00000020343
jaculus_jaculus ENSJJAG00000019896
cavia_aperea ENSCAPG00000015584
cavia_porcellus ENSCPOG00000033065
chinchilla_lanigera ENSCLAG00000016267
heterocephalus_glaber_female ENSHGLG00000012099
heterocephalus_glaber_male ENSHGLG00100018400
fukomys_damarensis ENSFDAG00000013086
octodon_degus ENSODEG00000011630
oryctolagus_cuniculus ENSOCUG00000025236
dasypus_novemcinctus ENSDNOG00000041964
dasypus_novemcinctus ENSDNOG00000044859
