papio_anubis ENSPANG00000035201
mandrillus_leucophaeus ENSMLEG00000043390
cercocebus_atys ENSCATG00000041536
macaca_mulatta ENSMMUG00000045357
macaca_nemestrina ENSMNEG00000003762
macaca_fascicularis ENSMFAG00000041917
rhinopithecus_roxellana ENSRROG00000045460
rhinopithecus_bieti ENSRBIG00000012227
colobus_angolensis_palliatus ENSCANG00000034811
pan_troglodytes ENSPTRG00000052500
pan_paniscus ENSPPAG00000013008
gorilla_gorilla ENSGGOG00000039248
nomascus_leucogenys ENSNLEG00000032698
aotus_nancymaae ENSANAG00000031469
prolemur_simus ENSPSMG00000023383
tupaia_belangeri ENSTBEG00000005961
erinaceus_europaeus ENSEEUG00000012315
