poecilia_latipinna ENSPLAG00000005812
poecilia_reticulata ENSPREG00000011875
poecilia_formosa ENSPFOG00000004307
xiphophorus_maculatus ENSXMAG00000022920
gambusia_affinis ENSGAFG00000019164
fundulus_heteroclitus ENSFHEG00000006033
cyprinodon_variegatus ENSCVAG00000005349
kryptolebias_marmoratus ENSKMAG00000007525
oryzias_latipes ENSORLG00020009274
oryzias_latipes_asm223469v1 ENSORLG00015018491
oryzias_latipes ENSORLG00000023325
oryzias_melastigma ENSOMEG00000022255
amphiprion_ocellaris ENSAOCG00000001637
amphiprion_percula ENSAPEG00000003849
amphiprion_ocellaris ENSAOCG00000022457
amphiprion_percula ENSAPEG00000003827
mastacembelus_armatus ENSMAMG00000013806
anabas_testudineus ENSATEG00000018501
labrus_bergylta ENSLBEG00000018361
seriola_dumerili ENSSDUG00000015514
seriola_lalandi_dorsalis ENSSLDG00000006075
cynoglossus_semilaevis ENSCSEG00000012656
maylandia_zebra ENSMZEG00005003796
astatotilapia_calliptera ENSACLG00000016125
haplochromis_burtoni ENSHBUG00000004043
pundamilia_nyererei ENSPNYG00000015889
oreochromis_niloticus ENSONIG00000004400
scophthalmus_maximus ENSSMAG00000006069
gadus_morhua ENSGMOG00000019046
esox_lucius ENSELUG00000022000
pygocentrus_nattereri ENSPNAG00000024218
astyanax_mexicanus ENSAMXG00000010682
danio_rerio ENSDARG00000001162
