poecilia_reticulata ENSPREG00000012402
poecilia_formosa ENSPFOG00000010940
xiphophorus_couchianus ENSXCOG00000008940
gambusia_affinis ENSGAFG00000006963
kryptolebias_marmoratus ENSKMAG00000004173
oryzias_latipes ENSORLG00000008808
oryzias_latipes ENSORLG00020013921
oryzias_latipes_asm223469v1 ENSORLG00015009279
oryzias_melastigma ENSOMEG00000004815
amphiprion_percula ENSAPEG00000007190
amphiprion_ocellaris ENSAOCG00000008023
acanthochromis_polyacanthus ENSAPOG00000003505
stegastes_partitus ENSSPAG00000003679
maylandia_zebra ENSMZEG00005018770
oreochromis_niloticus ENSONIG00000010119
astatotilapia_calliptera ENSACLG00000012370
pundamilia_nyererei ENSPNYG00000014191
amphilophus_citrinellus ENSACIG00000012126
mastacembelus_armatus ENSMAMG00000006983
monopterus_albus ENSMALG00000021080
anabas_testudineus ENSATEG00000017291
scophthalmus_maximus ENSSMAG00000020982
cynoglossus_semilaevis ENSCSEG00000016522
seriola_dumerili ENSSDUG00000010441
tetraodon_nigroviridis ENSTNIG00000003635
takifugu_rubripes ENSTRUG00000002498
mola_mola ENSMMOG00000007098
labrus_bergylta ENSLBEG00000027238
gasterosteus_aculeatus ENSGACG00000007843
hippocampus_comes ENSHCOG00000007623
danio_rerio ENSDARG00000071437
petromyzon_marinus ENSPMAG00000003196
