mola_mola ENSMMOG00000012502
oryzias_latipes ENSORLG00000026367
pogona_vitticeps ENSPVIG00000018047
eptatretus_burgeri ENSEBUG00000009872
microcebus_murinus ENSMICG00000012453
prolemur_simus ENSPSMG00000019815
propithecus_coquereli ENSPCOG00000006030
macaca_nemestrina ENSMNEG00000045221
macaca_fascicularis ENSMFAG00000039921
cercocebus_atys ENSCATG00000036919
papio_anubis ENSPANG00000024250
theropithecus_gelada ENSTGEG00000023550
chlorocebus_sabaeus ENSCSAG00000011857
rhinopithecus_bieti ENSRBIG00000040919
piliocolobus_tephrosceles ENSPTEG00000015220
mandrillus_leucophaeus ENSMLEG00000029266
papio_anubis ENSPANG00000032747
pan_troglodytes ENSPTRG00000008673
pan_troglodytes ENSPTRG00000051288
pan_paniscus ENSPPAG00000041892
gorilla_gorilla ENSGGOG00000007399
homo_sapiens ENSG00000006047
nomascus_leucogenys ENSNLEG00000008063
colobus_angolensis_palliatus ENSCANG00000007129
rhinopithecus_roxellana ENSRROG00000041728
mandrillus_leucophaeus ENSMLEG00000039452
nomascus_leucogenys ENSNLEG00000032509
callithrix_jacchus ENSCJAG00000016581
callithrix_jacchus ENSCJAG00000042146
saimiri_boliviensis_boliviensis ENSSBOG00000029566
cebus_capucinus ENSCCAG00000025671
aotus_nancymaae ENSANAG00000019540
ochotona_princeps ENSOPRG00000013773
nomascus_leucogenys ENSNLEG00000029527
mus_spicilegus ENSMSIG00000030240
tursiops_truncatus ENSTTRG00000009780
echinops_telfairi ENSETEG00000014271
capra_hircus ENSCHIG00000016407
ovis_aries ENSOARG00000011562
bos_taurus ENSBTAG00000009126
bison_bison_bison ENSBBBG00000001150
bos_mutus ENSBMUG00000006793
sus_scrofa ENSSSCG00000017938
pteropus_vampyrus ENSPVAG00000005050
myotis_lucifugus ENSMLUG00000004686
equus_asinus_asinus ENSEASG00005018928
equus_caballus ENSECAG00000009996
ursus_americanus ENSUAMG00000014725
ursus_maritimus ENSUMAG00000015222
ailuropoda_melanoleuca ENSAMEG00000016564
neovison_vison ENSNVIG00000002573
neovison_vison ENSNVIG00000017191
mustela_putorius_furo ENSMPUG00000010386
canis_lupus_dingo ENSCAFG00020008884
vulpes_vulpes ENSVVUG00000027830
canis_lupus_familiaris ENSCAFG00000016128
vulpes_vulpes ENSVVUG00000012111
canis_lupus_familiaris ENSCAFG00000005162
panthera_pardus ENSPPRG00000000782
felis_catus ENSFCAG00000018097
sorex_araneus ENSSARG00000000488
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017442
mus_spicilegus ENSMSIG00000004214
mus_musculus ENSMUSG00000018554
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016606
mus_pahari MGP_PahariEiJ_G0017737
rattus_norvegicus ENSRNOG00000017117
meriones_unguiculatus ENSMUGG00000016125
cricetulus_griseus_crigri-picr ENSCGRG00015008587
cricetulus_griseus_crigri ENSCGRG00000007683
cricetulus_griseus_chok1gshd ENSCGRG00001000751
mesocricetus_auratus ENSMAUG00000022062
microtus_ochrogaster ENSMOCG00000013958
peromyscus_maniculatus_bairdii ENSPEMG00000018382
nannospalax_galili ENSNGAG00000011707
castor_canadensis ENSCCNG00000016662
heterocephalus_glaber_female ENSHGLG00000014186
heterocephalus_glaber_male ENSHGLG00100014855
fukomys_damarensis ENSFDAG00000005181
cavia_porcellus ENSCPOG00000009543
cavia_aperea ENSCAPG00000011432
chinchilla_lanigera ENSCLAG00000010306
octodon_degus ENSODEG00000017530
spermophilus_dauricus ENSSDAG00000011154
ictidomys_tridecemlineatus ENSSTOG00000008630
urocitellus_parryii ENSUPAG00010014438
marmota_marmota_marmota ENSMMMG00000019268
oryctolagus_cuniculus ENSOCUG00000015064
otolemur_garnettii ENSOGAG00000004392
carlito_syrichta ENSTSYG00000030765
dipodomys_ordii ENSDORG00000010882
jaculus_jaculus ENSJJAG00000013072
