stegastes_partitus ENSSPAG00000006505
fundulus_heteroclitus ENSFHEG00000022266
cynoglossus_semilaevis ENSCSEG00000009919
periophthalmus_magnuspinnatus ENSPMGG00000006940
poecilia_formosa ENSPFOG00000022472
gasterosteus_aculeatus ENSGACG00000014890
anabas_testudineus ENSATEG00000018170
mastacembelus_armatus ENSMAMG00000019135
seriola_dumerili ENSSDUG00000014749
seriola_lalandi_dorsalis ENSSLDG00000003428
takifugu_rubripes ENSTRUG00000019962
gadus_morhua ENSGMOG00000005988
gadus_morhua ENSGMOG00000010953
