xiphophorus_couchianus ENSXCOG00000020025
xiphophorus_maculatus ENSXMAG00000028355
poecilia_latipinna ENSPLAG00000000598
kryptolebias_marmoratus ENSKMAG00000021138
amphilophus_citrinellus ENSACIG00000014431
amphilophus_citrinellus ENSACIG00000023391
neolamprologus_brichardi ENSNBRG00000013676
astatotilapia_calliptera ENSACLG00000012056
amphiprion_percula ENSAPEG00000022570
acanthochromis_polyacanthus ENSAPOG00000002995
mola_mola ENSMMOG00000000836
labrus_bergylta ENSLBEG00000018818
lates_calcarifer ENSLCAG00010007999
lates_calcarifer ENSLCAG00010026030
lates_calcarifer ENSLCAG00010021615
betta_splendens ENSBSLG00000000746
betta_splendens ENSBSLG00000000849
seriola_lalandi ENSSLDG00000022305
seriola_dumerili ENSSDUG00000009125
hippocampus_comes ENSHCOG00000020374
anabas_testudineus ENSATEG00000011368
periophthalmus_magnuspinnatus ENSPMGG00000000728
