ornithorhynchus_anatinus ENSOANG00000022402
eptatretus_burgeri ENSEBUG00000000532
petromyzon_marinus ENSPMAG00000008462
eptatretus_burgeri ENSEBUG00000002327
dipodomys_ordii ENSDORG00000001727
ochotona_princeps ENSOPRG00000015020
tupaia_belangeri ENSTBEG00000004607
myotis_lucifugus ENSMLUG00000004287
pteropus_vampyrus ENSPVAG00000014322
equus_caballus ENSECAG00000017744
equus_asinus_asinus ENSEASG00005004810
bos_taurus ENSBTAG00000019073
bos_mutus ENSBMUG00000015657
bison_bison_bison ENSBBBG00000024836
capra_hircus ENSCHIG00000011495
ovis_aries ENSOARG00000017713
tursiops_truncatus ENSTTRG00000008169
sus_scrofa ENSSSCG00000008043
ailuropoda_melanoleuca ENSAMEG00000017804
ursus_americanus ENSUAMG00000004430
mustela_putorius_furo ENSMPUG00000015411
neovison_vison ENSNVIG00000022804
canis_lupus_familiaris ENSCAFG00000019418
canis_lupus_dingo ENSCAFG00020026190
vulpes_vulpes ENSVVUG00000009335
panthera_pardus ENSPPRG00000002445
panthera_tigris_altaica ENSPTIG00000014610
felis_catus ENSFCAG00000006348
erinaceus_europaeus ENSEEUG00000013116
erinaceus_europaeus ENSEEUG00000004330
prolemur_simus ENSPSMG00000023025
microcebus_murinus ENSMICG00000005860
propithecus_coquereli ENSPCOG00000013195
carlito_syrichta ENSTSYG00000032545
nannospalax_galili ENSNGAG00000021524
nannospalax_galili ENSNGAG00000019420
cricetulus_griseus_crigri-picr ENSCGRG00015013028
cricetulus_griseus_chok1gshd ENSCGRG00001013600
cricetulus_griseus_crigri ENSCGRG00000017518
cricetulus_griseus_chok1gshd ENSCGRG00001012875
cricetulus_griseus_crigri ENSCGRG00000009258
mesocricetus_auratus ENSMAUG00000010013
microtus_ochrogaster ENSMOCG00000017636
peromyscus_maniculatus_bairdii ENSPEMG00000018136
mus_spicilegus ENSMSIG00000006269
mus_musculus ENSMUSG00000052752
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022100
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021190
mus_pahari MGP_PahariEiJ_G0023506
rattus_norvegicus ENSRNOG00000003131
meriones_unguiculatus ENSMUGG00000025740
jaculus_jaculus ENSJJAG00000017715
castor_canadensis ENSCCNG00000031386
chinchilla_lanigera ENSCLAG00000015631
octodon_degus ENSODEG00000013446
cavia_porcellus ENSCPOG00000011840
cavia_aperea ENSCAPG00000017516
heterocephalus_glaber_female ENSHGLG00000003259
heterocephalus_glaber_male ENSHGLG00100018008
fukomys_damarensis ENSFDAG00000017083
ictidomys_tridecemlineatus ENSSTOG00000013083
ictidomys_tridecemlineatus ENSSTOG00000032434
urocitellus_parryii ENSUPAG00010017594
urocitellus_parryii ENSUPAG00010016711
spermophilus_dauricus ENSSDAG00000011129
marmota_marmota_marmota ENSMMMG00000009664
ictidomys_tridecemlineatus ENSSTOG00000034215
otolemur_garnettii ENSOGAG00000006581
papio_anubis ENSPANG00000025049
theropithecus_gelada ENSTGEG00000000267
mandrillus_leucophaeus ENSMLEG00000035655
cercocebus_atys ENSCATG00000035820
macaca_fascicularis ENSMFAG00000045280
macaca_mulatta ENSMMUG00000019223
macaca_nemestrina ENSMNEG00000037325
chlorocebus_sabaeus ENSCSAG00000010988
rhinopithecus_bieti ENSRBIG00000028226
rhinopithecus_roxellana ENSRROG00000040970
piliocolobus_tephrosceles ENSPTEG00000032880
colobus_angolensis_palliatus ENSCANG00000034635
pan_troglodytes ENSPTRG00000007635
pan_paniscus ENSPPAG00000035191
homo_sapiens ENSG00000131653
gorilla_gorilla ENSGGOG00000022099
pongo_abelii ENSPPYG00000006989
nomascus_leucogenys ENSNLEG00000009168
cebus_capucinus ENSCCAG00000032534
saimiri_boliviensis_boliviensis ENSSBOG00000007977
callithrix_jacchus ENSCJAG00000015047
aotus_nancymaae ENSANAG00000029847
aotus_nancymaae ENSANAG00000023605
dasypus_novemcinctus ENSDNOG00000044098
procavia_capensis ENSPCAG00000003977
loxodonta_africana ENSLAFG00000015455
notamacropus_eugenii ENSMEUG00000011889
phascolarctos_cinereus ENSPCIG00000024997
sarcophilus_harrisii ENSSHAG00000016612
monodelphis_domestica ENSMODG00000015943
xenopus_tropicalis ENSXETG00000015971
nothoprocta_perdicaria ENSNPEG00000013186
melopsittacus_undulatus ENSMUNG00000001871
gallus_gallus ENSGALG00000005767
meleagris_gallopavo ENSMGAG00000006073
coturnix_japonica ENSCJPG00005010210
numida_meleagris ENSNMEG00000012145
anser_brachyrhynchus ENSABRG00000008518
anas_platyrhynchos_platyrhynchos ENSAPLG00000007038
calidris_pygmaea ENSCPGG00000014594
calidris_pugnax ENSCPUG00000016544
apteryx_haastii ENSAHAG00000012859
apteryx_rowi ENSARWG00000002987
apteryx_owenii ENSAOWG00000004236
dromaius_novaehollandiae ENSDNVG00000013023
lepidothrix_coronata ENSLCOG00000012624
manacus_vitellinus ENSMVIG00005007477
cyanistes_caeruleus ENSCCEG00000023163
parus_major ENSPMJG00000019238
lonchura_striata_domestica ENSLSDG00000003456
taeniopygia_guttata ENSTGUG00000006321
ficedula_albicollis ENSFALG00000003582
serinus_canaria ENSSCAG00000005369
junco_hyemalis ENSJHYG00000003891
zonotrichia_albicollis ENSZALG00000000317
crocodylus_porosus ENSCPRG00005011717
gopherus_agassizii ENSGAGG00000023902
