acanthochromis_polyacanthus ENSAPOG00000005736
poecilia_formosa ENSPFOG00000015024
gasterosteus_aculeatus ENSGACG00000016295
tetraodon_nigroviridis ENSTNIG00000004658
cynoglossus_semilaevis ENSCSEG00000008573
gadus_morhua ENSGMOG00000000726
esox_lucius ENSELUG00000018380
lepisosteus_oculatus ENSLOCG00000005869
taeniopygia_guttata ENSTGUG00000016551
pelodiscus_sinensis ENSPSIG00000003065
anolis_carolinensis ENSACAG00000001097
panthera_tigris_altaica ENSPTIG00000009818
panthera_pardus ENSPPRG00000023558
felis_catus ENSFCAG00000031353
colobus_angolensis_palliatus ENSCANG00000021467
cebus_capucinus ENSCCAG00000002060
carlito_syrichta ENSTSYG00000027749
prolemur_simus ENSPSMG00000009726
propithecus_coquereli ENSPCOG00000027868
octodon_degus ENSODEG00000003802
