anolis_carolinensis ENSACAG00000004215
pogona_vitticeps ENSPVIG00000016415
notechis_scutatus ENSNSUG00000018979
salvator_merianae ENSSMRG00000007172
sphenodon_punctatus ENSSPUG00000001593
cyanistes_caeruleus ENSCCEG00000001968
cyanistes_caeruleus ENSCCEG00000001066
parus_major ENSPMJG00000000993
ficedula_albicollis ENSFALG00000001861
lonchura_striata ENSLSDG00000003590
taeniopygia_guttata ENSTGUG00000002123
serinus_canaria ENSSCAG00000009740
zonotrichia_albicollis ENSZALG00000009952
junco_hyemalis ENSJHYG00000017644
lepidothrix_coronata ENSLCOG00000009856
manacus_vitellinus ENSMVIG00005019839
melopsittacus_undulatus ENSMUNG00000011469
calidris_pugnax ENSCPUG00000013551
calidris_pygmaea ENSCPGG00000001291
meleagris_gallopavo ENSMGAG00000004441
coturnix_japonica ENSCJPG00005004221
gallus_gallus ENSGALG00000006753
numida_meleagris ENSNMEG00000001624
anser_brachyrhynchus ENSABRG00000013613
anas_platyrhynchos ENSAPLG00000007987
apteryx_rowi ENSARWG00000001149
apteryx_owenii ENSAOWG00000003601
apteryx_haastii ENSAHAG00000011489
dromaius_novaehollandiae ENSDNVG00000011139
nothoprocta_perdicaria ENSNPEG00000001959
crocodylus_porosus ENSCPRG00005001119
gopherus_agassizii ENSGAGG00000015019
chelonoidis_abingdonii ENSCABG00000013480
chrysemys_picta ENSCPBG00000019796
pelodiscus_sinensis ENSPSIG00000012950
propithecus_coquereli ENSPCOG00000017668
microcebus_murinus ENSMICG00000035619
otolemur_garnettii ENSOGAG00000015242
otolemur_garnettii ENSOGAG00000024468
ursus_americanus ENSUAMG00000013854
ursus_maritimus ENSUMAG00000012711
ailuropoda_melanoleuca ENSAMEG00000009927
canis_lupus ENSCAFG00000005024
canis_lupus ENSCAFG00020005749
vulpes_vulpes ENSVVUG00000006574
neovison_vison ENSNVIG00000015155
panthera_tigris ENSPTIG00000016029
panthera_pardus ENSPPRG00000004995
felis_catus ENSFCAG00000000196
erinaceus_europaeus ENSEEUG00000011070
sorex_araneus ENSSARG00000009960
bos_indicus ENSBIXG00000016388
bos_indicus ENSBIXG00005013916
bos_taurus ENSBTAG00000013930
bos_mutus ENSBMUG00000000536
bison_bison ENSBBBG00000021081
capra_hircus ENSCHIG00000018328
sus_scrofa ENSSSCG00000034086
vicugna_pacos ENSVPAG00000007701
tursiops_truncatus ENSTTRG00000005049
equus_caballus ENSECAG00000024684
equus_asinus ENSEASG00005019253
myotis_lucifugus ENSMLUG00000002279
pteropus_vampyrus ENSPVAG00000006512
mus_spicilegus ENSMSIG00000027473
mus_spretus MGP_SPRETEiJ_G0024084
mus_musculus ENSMUSG00000025781
mus_caroli MGP_CAROLIEiJ_G0023166
mus_pahari MGP_PahariEiJ_G0019226
meriones_unguiculatus ENSMUGG00000002095
cricetulus_griseus ENSCGRG00001013869
cricetulus_griseus ENSCGRG00015019243
cricetulus_griseus ENSCGRG00000009521
mesocricetus_auratus ENSMAUG00000014343
microtus_ochrogaster ENSMOCG00000022690
peromyscus_maniculatus ENSPEMG00000020033
nannospalax_galili ENSNGAG00000011025
castor_canadensis ENSCCNG00000019334
jaculus_jaculus ENSJJAG00000021061
jaculus_jaculus ENSJJAG00000011795
jaculus_jaculus ENSJJAG00000012318
jaculus_jaculus ENSJJAG00000024357
dipodomys_ordii ENSDORG00000002797
rhinopithecus_roxellana ENSRROG00000039032
cercocebus_atys ENSCATG00000039954
microcebus_murinus ENSMICG00000033394
microcebus_murinus ENSMICG00000029775
microcebus_murinus ENSMICG00000008263
microcebus_murinus ENSMICG00000029440
microcebus_murinus ENSMICG00000047801
microcebus_murinus ENSMICG00000031496
propithecus_coquereli ENSPCOG00000014560
myotis_lucifugus ENSMLUG00000024430
myotis_lucifugus ENSMLUG00000030173
procavia_capensis ENSPCAG00000004971
loxodonta_africana ENSLAFG00000014457
choloepus_hoffmanni ENSCHOG00000011229
dasypus_novemcinctus ENSDNOG00000009066
ochotona_princeps ENSOPRG00000011905
cavia_porcellus ENSCPOG00000037334
rhinopithecus_roxellana ENSRROG00000000061
rhinopithecus_bieti ENSRBIG00000043494
piliocolobus_tephrosceles ENSPTEG00000025317
colobus_angolensis ENSCANG00000039583
theropithecus_gelada ENSTGEG00000025037
papio_anubis ENSPANG00000023406
mandrillus_leucophaeus ENSMLEG00000032917
macaca_mulatta ENSMMUG00000009207
macaca_nemestrina ENSMNEG00000038347
macaca_fascicularis ENSMFAG00000030332
chlorocebus_sabaeus ENSCSAG00000013445
saimiri_boliviensis ENSSBOG00000025463
saimiri_boliviensis ENSSBOG00000024578
cebus_capucinus ENSCCAG00000024665
aotus_nancymaae ENSANAG00000037804
cebus_capucinus ENSCCAG00000037542
cebus_capucinus ENSCCAG00000020813
saimiri_boliviensis ENSSBOG00000024029
callithrix_jacchus ENSCJAG00000020635
aotus_nancymaae ENSANAG00000010968
pan_troglodytes ENSPTRG00000002277
pan_paniscus ENSPPAG00000007094
homo_sapiens ENSG00000165629
gorilla_gorilla ENSGGOG00000009719
pongo_abelii ENSPPYG00000002076
nomascus_leucogenys ENSNLEG00000011917
pan_troglodytes ENSPTRG00000047994
pan_troglodytes ENSPTRG00000049573
pan_paniscus ENSPPAG00000041855
gorilla_gorilla ENSGGOG00000040693
nomascus_leucogenys ENSNLEG00000036135
mandrillus_leucophaeus ENSMLEG00000043333
macaca_fascicularis ENSMFAG00000040778
cercocebus_atys ENSCATG00000032779
papio_anubis ENSPANG00000022947
rhinopithecus_roxellana ENSRROG00000039104
rhinopithecus_bieti ENSRBIG00000008506
colobus_angolensis ENSCANG00000019613
aotus_nancymaae ENSANAG00000025531
cebus_capucinus ENSCCAG00000022654
saimiri_boliviensis ENSSBOG00000016621
aotus_nancymaae ENSANAG00000036026
carlito_syrichta ENSTSYG00000032556
carlito_syrichta ENSTSYG00000003035
octodon_degus ENSODEG00000019744
octodon_degus ENSODEG00000003812
octodon_degus ENSODEG00000004292
octodon_degus ENSODEG00000007186
octodon_degus ENSODEG00000008361
octodon_degus ENSODEG00000000141
octodon_degus ENSODEG00000014357
chinchilla_lanigera ENSCLAG00000009245
cavia_porcellus ENSCPOG00000010523
cavia_aperea ENSCAPG00000010125
heterocephalus_glaber ENSHGLG00000006601
heterocephalus_glaber ENSHGLG00100004667
fukomys_damarensis ENSFDAG00000017295
tupaia_belangeri ENSTBEG00000011530
echinops_telfairi ENSETEG00000010549
ictidomys_tridecemlineatus ENSSTOG00000026133
ictidomys_tridecemlineatus ENSSTOG00000030479
urocitellus_parryii ENSUPAG00010001843
spermophilus_dauricus ENSSDAG00000017135
marmota_marmota ENSMMMG00000016362
oryctolagus_cuniculus ENSOCUG00000004642
prolemur_simus ENSPSMG00000008376
microcebus_murinus ENSMICG00000031859
mustela_putorius ENSMPUG00000016387
vombatus_ursinus ENSVURG00010014444
vombatus_ursinus ENSVURG00010016109
phascolarctos_cinereus ENSPCIG00000017337
notamacropus_eugenii ENSMEUG00000014727
monodelphis_domestica ENSMODG00000016720
sarcophilus_harrisii ENSSHAG00000018089
ornithorhynchus_anatinus ENSOANG00000015444
ornithorhynchus_anatinus ENSOANG00000001701
xenopus_tropicalis ENSXETG00000019820
latimeria_chalumnae ENSLACG00000008730
monopterus_albus ENSMALG00000000898
larimichthys_crocea ENSLCRG00005013675
astatotilapia_calliptera ENSACLG00000014043
haplochromis_burtoni ENSHBUG00000005140
maylandia_zebra ENSMZEG00005021697
pundamilia_nyererei ENSPNYG00000015746
neolamprologus_brichardi ENSNBRG00000012754
oreochromis_niloticus ENSONIG00000017924
amphilophus_citrinellus ENSACIG00000004272
gasterosteus_aculeatus ENSGACG00000020109
labrus_bergylta ENSLBEG00000023271
cynoglossus_semilaevis ENSCSEG00000020118
oryzias_latipes ENSORLG00000017134
oryzias_latipes ENSORLG00020000747
oryzias_latipes ENSORLG00015006019
poecilia_mexicana ENSPMEG00000005925
fundulus_heteroclitus ENSFHEG00000008786
kryptolebias_marmoratus ENSKMAG00000014707
parambassis_ranga ENSPRNG00000002533
hippocampus_comes ENSHCOG00000018550
larimichthys_crocea ENSLCRG00005013666
seriola_dumerili ENSSDUG00000015543
seriola_lalandi ENSSLDG00000001247
oryzias_melastigma ENSOMEG00000023526
anabas_testudineus ENSATEG00000022006
betta_splendens ENSBSLG00000022302
lates_calcarifer ENSLCAG00010009386
mastacembelus_armatus ENSMAMG00000017829
gouania_willdenowi ENSGWIG00000010787
amphiprion_ocellaris ENSAOCG00000017434
amphiprion_percula ENSAPEG00000017494
acanthochromis_polyacanthus ENSAPOG00000017573
stegastes_partitus ENSSPAG00000004745
tetraodon_nigroviridis ENSTNIG00000012638
takifugu_rubripes ENSTRUG00000010586
mola_mola ENSMMOG00000006709
periophthalmus_magnuspinnatus ENSPMGG00000000649
xiphophorus_couchianus ENSXCOG00000011906
xiphophorus_maculatus ENSXMAG00000003042
gambusia_affinis ENSGAFG00000004886
poecilia_formosa ENSPFOG00000013026
poecilia_latipinna ENSPLAG00000022630
poecilia_reticulata ENSPREG00000018064
cyprinodon_variegatus ENSCVAG00000020274
scophthalmus_maximus ENSSMAG00000006630
gadus_morhua ENSGMOG00000003527
cottoperca_gobio ENSCGOG00000015708
hucho_hucho ENSHHUG00000007700
esox_lucius ENSELUG00000005978
clupea_harengus ENSCHAG00000014596
electrophorus_electricus ENSEEEG00000015374
ictalurus_punctatus ENSIPUG00000008387
astyanax_mexicanus ENSAMXG00000005916
astyanax_mexicanus ENSAMXG00005007659
pygocentrus_nattereri ENSPNAG00000008530
danio_rerio ENSDARG00000045514
denticeps_clupeoides ENSDCDG00000032205
scleropages_formosus ENSSFOG00015023991
paramormyrops_kingsleyae ENSPKIG00000024970
fundulus_heteroclitus ENSFHEG00000009037
lepisosteus_oculatus ENSLOCG00000015681
erpetoichthys_calabaricus ENSECRG00000010017
callorhinchus_milii ENSCMIG00000012903
eptatretus_burgeri ENSEBUG00000006924
petromyzon_marinus ENSPMAG00000005875
seriola_lalandi ENSSLDG00000005446
hucho_hucho ENSHHUG00000015790
junco_hyemalis ENSJHYG00000002804
drosophila_melanogaster FBgn0020235
caenorhabditis_elegans WBGene00022089
ciona_savignyi ENSCSAVG00000009414
ciona_intestinalis ENSCING00000013793
saccharomyces_cerevisiae YBR039W
