mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017488
mus_spicilegus ENSMSIG00000024527
mus_musculus ENSMUSG00000057135
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016652
mus_pahari MGP_PahariEiJ_G0017783
rattus_norvegicus ENSRNOG00000037409
meriones_unguiculatus ENSMUGG00000023442
peromyscus_maniculatus_bairdii ENSPEMG00000024658
microtus_ochrogaster ENSMOCG00000018214
cricetulus_griseus_crigri ENSCGRG00000013184
cricetulus_griseus_crigri-picr ENSCGRG00015003993
cricetulus_griseus_chok1gshd ENSCGRG00001014394
mesocricetus_auratus ENSMAUG00000021547
nannospalax_galili ENSNGAG00000015620
jaculus_jaculus ENSJJAG00000010731
castor_canadensis ENSCCNG00000001240
dipodomys_ordii ENSDORG00000028534
chinchilla_lanigera ENSCLAG00000011695
octodon_degus ENSODEG00000017150
cavia_porcellus ENSCPOG00000038096
cavia_aperea ENSCAPG00000003208
heterocephalus_glaber_female ENSHGLG00000016934
heterocephalus_glaber_male ENSHGLG00100013766
fukomys_damarensis ENSFDAG00000008097
spermophilus_dauricus ENSSDAG00000003269
marmota_marmota_marmota ENSMMMG00000018474
urocitellus_parryii ENSUPAG00010019232
ictidomys_tridecemlineatus ENSSTOG00000001058
ochotona_princeps ENSOPRG00000013070
oryctolagus_cuniculus ENSOCUG00000025793
pan_troglodytes ENSPTRG00000008626
pan_paniscus ENSPPAG00000025583
gorilla_gorilla ENSGGOG00000025481
homo_sapiens ENSG00000161929
pongo_abelii ENSPPYG00000007865
nomascus_leucogenys ENSNLEG00000034146
mandrillus_leucophaeus ENSMLEG00000035368
theropithecus_gelada ENSTGEG00000020382
papio_anubis ENSPANG00000029803
macaca_fascicularis ENSMFAG00000044584
colobus_angolensis_palliatus ENSCANG00000034427
macaca_mulatta ENSMMUG00000022985
macaca_nemestrina ENSMNEG00000033387
cercocebus_atys ENSCATG00000040963
chlorocebus_sabaeus ENSCSAG00000012849
rhinopithecus_roxellana ENSRROG00000030162
rhinopithecus_bieti ENSRBIG00000018843
cebus_capucinus ENSCCAG00000029211
saimiri_boliviensis_boliviensis ENSSBOG00000032132
callithrix_jacchus ENSCJAG00000011513
aotus_nancymaae ENSANAG00000033409
carlito_syrichta ENSTSYG00000027528
microcebus_murinus ENSMICG00000000241
propithecus_coquereli ENSPCOG00000018419
prolemur_simus ENSPSMG00000018388
ursus_maritimus ENSUMAG00000013561
ursus_americanus ENSUAMG00000004704
ailuropoda_melanoleuca ENSAMEG00000006189
mustela_putorius_furo ENSMPUG00000011068
neovison_vison ENSNVIG00000019137
vulpes_vulpes ENSVVUG00000027438
canis_lupus_familiaris ENSCAFG00000015599
panthera_pardus ENSPPRG00000014489
panthera_tigris_altaica ENSPTIG00000012350
felis_catus ENSFCAG00000040469
equus_asinus_asinus ENSEASG00005015379
bos_taurus ENSBTAG00000055017
bos_mutus ENSBMUG00000005788
bison_bison_bison ENSBBBG00000002963
ovis_aries ENSOARG00000004198
tursiops_truncatus ENSTTRG00000010884
sus_scrofa ENSSSCG00000017896
choloepus_hoffmanni ENSCHOG00000004125
dasypus_novemcinctus ENSDNOG00000035239
pteropus_vampyrus ENSPVAG00000008238
myotis_lucifugus ENSMLUG00000007562
sorex_araneus ENSSARG00000008456
erinaceus_europaeus ENSEEUG00000008981
equus_caballus ENSECAG00000016938
tupaia_belangeri ENSTBEG00000010994
echinops_telfairi ENSETEG00000011980
notamacropus_eugenii ENSMEUG00000006213
monodelphis_domestica ENSMODG00000025698
