pan_paniscus ENSPPAG00000028190
homo_sapiens ENSG00000204965
pongo_abelii ENSPPYG00000015868
mandrillus_leucophaeus ENSMLEG00000023182
carlito_syrichta ENSTSYG00000007083
heterocephalus_glaber_male ENSHGLG00100000454
cavia_aperea ENSCAPG00000013028
spermophilus_dauricus ENSSDAG00000019127
mesocricetus_auratus ENSMAUG00000018094
microtus_ochrogaster ENSMOCG00000015779
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023059
mus_musculus ENSMUSG00000103092
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022146
mus_pahari MGP_PahariEiJ_G0018880
mus_musculus ENSMUSG00000103125
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022149
mus_pahari MGP_PahariEiJ_G0018884
nannospalax_galili ENSNGAG00000014115
jaculus_jaculus ENSJJAG00000016589
ursus_maritimus ENSUMAG00000012836
panthera_tigris_altaica ENSPTIG00000011039
bos_mutus ENSBMUG00000016547
bison_bison_bison ENSBBBG00000011520
ovis_aries ENSOARG00000018726
sorex_araneus ENSSARG00000009677
