crocodylus_porosus ENSCPRG00005014726
notechis_scutatus ENSNSUG00000002105
pteropus_vampyrus ENSPVAG00000004326
myotis_lucifugus ENSMLUG00000012042
canis_lupus_familiaris ENSCAFG00000002904
canis_lupus_dingo ENSCAFG00020027075
vulpes_vulpes ENSVVUG00000004305
ursus_americanus ENSUAMG00000008943
ursus_maritimus ENSUMAG00000003724
ailuropoda_melanoleuca ENSAMEG00000005828
neovison_vison ENSNVIG00000016653
mustela_putorius_furo ENSMPUG00000009583
panthera_pardus ENSPPRG00000024789
panthera_tigris_altaica ENSPTIG00000017072
felis_catus ENSFCAG00000009206
ovis_aries ENSOARG00000011393
capra_hircus ENSCHIG00000026008
bos_mutus ENSBMUG00000006786
bos_taurus ENSBTAG00000004793
bison_bison_bison ENSBBBG00000003791
tursiops_truncatus ENSTTRG00000008661
sus_scrofa ENSSSCG00000008937
vicugna_pacos ENSVPAG00000011879
equus_asinus_asinus ENSEASG00005016708
equus_caballus ENSECAG00000021532
erinaceus_europaeus ENSEEUG00000011188
sorex_araneus ENSSARG00000009204
rhinopithecus_roxellana ENSRROG00000032111
rhinopithecus_bieti ENSRBIG00000012480
colobus_angolensis_palliatus ENSCANG00000035437
piliocolobus_tephrosceles ENSPTEG00000008956
cercocebus_atys ENSCATG00000036126
mandrillus_leucophaeus ENSMLEG00000038229
papio_anubis ENSPANG00000014745
theropithecus_gelada ENSTGEG00000016760
macaca_fascicularis ENSMFAG00000038007
macaca_mulatta ENSMMUG00000022099
macaca_nemestrina ENSMNEG00000032178
chlorocebus_sabaeus ENSCSAG00000004873
pan_troglodytes ENSPTRG00000023351
pan_paniscus ENSPPAG00000043819
homo_sapiens ENSG00000178522
gorilla_gorilla ENSGGOG00000013657
pongo_abelii ENSPPYG00000014807
nomascus_leucogenys ENSNLEG00000007704
saimiri_boliviensis_boliviensis ENSSBOG00000024705
callithrix_jacchus ENSCJAG00000014634
cebus_capucinus ENSCCAG00000024239
aotus_nancymaae ENSANAG00000036096
carlito_syrichta ENSTSYG00000014624
propithecus_coquereli ENSPCOG00000012196
microcebus_murinus ENSMICG00000033538
prolemur_simus ENSPSMG00000015066
otolemur_garnettii ENSOGAG00000033618
castor_canadensis ENSCCNG00000000002
dipodomys_ordii ENSDORG00000016295
microtus_ochrogaster ENSMOCG00000016959
peromyscus_maniculatus_bairdii ENSPEMG00000018926
cricetulus_griseus_crigri-picr ENSCGRG00015019823
cricetulus_griseus_chok1gshd ENSCGRG00001008007
cricetulus_griseus_crigri ENSCGRG00000013505
mesocricetus_auratus ENSMAUG00000009855
mus_musculus ENSMUSG00000029288
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028369
mus_spicilegus ENSMSIG00000031640
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027372
mus_pahari MGP_PahariEiJ_G0017150
rattus_norvegicus ENSRNOG00000003718
meriones_unguiculatus ENSMUGG00000005441
nannospalax_galili ENSNGAG00000024229
jaculus_jaculus ENSJJAG00000020709
heterocephalus_glaber_female ENSHGLG00000000274
heterocephalus_glaber_male ENSHGLG00100008445
fukomys_damarensis ENSFDAG00000005810
chinchilla_lanigera ENSCLAG00000007125
octodon_degus ENSODEG00000001513
cavia_porcellus ENSCPOG00000001111
cavia_aperea ENSCAPG00000015090
ictidomys_tridecemlineatus ENSSTOG00000007952
urocitellus_parryii ENSUPAG00010010841
spermophilus_dauricus ENSSDAG00000024533
marmota_marmota_marmota ENSMMMG00000024671
oryctolagus_cuniculus ENSOCUG00000022916
ochotona_princeps ENSOPRG00000010951
tupaia_belangeri ENSTBEG00000017478
loxodonta_africana ENSLAFG00000016997
procavia_capensis ENSPCAG00000003170
echinops_telfairi ENSETEG00000002140
dasypus_novemcinctus ENSDNOG00000010874
choloepus_hoffmanni ENSCHOG00000011594
phascolarctos_cinereus ENSPCIG00000000866
notamacropus_eugenii ENSMEUG00000002847
sarcophilus_harrisii ENSSHAG00000018085
monodelphis_domestica ENSMODG00000012395
ornithorhynchus_anatinus ENSOANG00000013691
xenopus_tropicalis ENSXETG00000000331
