caenorhabditis_elegans_strain_n2 WBGene00007184
drosophila_melanogaster FBgn0034829
labrus_bergylta ENSLBEG00000027046
gasterosteus_aculeatus ENSGACG00000015700
mola_mola ENSMMOG00000017012
monopterus_albus ENSMALG00000020453
mastacembelus_armatus ENSMAMG00000021734
anabas_testudineus ENSATEG00000006103
seriola_lalandi_dorsalis ENSSLDG00000021825
seriola_dumerili ENSSDUG00000023335
scophthalmus_maximus ENSSMAG00000021425
amphiprion_ocellaris ENSAOCG00000014137
amphiprion_percula ENSAPEG00000010314
acanthochromis_polyacanthus ENSAPOG00000014888
stegastes_partitus ENSSPAG00000012464
gambusia_affinis ENSGAFG00000017094
xiphophorus_maculatus ENSXMAG00000009282
poecilia_formosa ENSPFOG00000011619
poecilia_mexicana ENSPMEG00000021637
poecilia_latipinna ENSPLAG00000019204
poecilia_reticulata ENSPREG00000023117
fundulus_heteroclitus ENSFHEG00000007056
cyprinodon_variegatus ENSCVAG00000017846
kryptolebias_marmoratus ENSKMAG00000005520
oryzias_latipes ENSORLG00020010818
oryzias_latipes_asm223469v1 ENSORLG00015008936
oryzias_latipes ENSORLG00000007260
oryzias_melastigma ENSOMEG00000001526
maylandia_zebra ENSMZEG00005014760
haplochromis_burtoni ENSHBUG00000017978
astatotilapia_calliptera ENSACLG00000000359
pundamilia_nyererei ENSPNYG00000009014
neolamprologus_brichardi ENSNBRG00000011807
oreochromis_niloticus ENSONIG00000006019
amphilophus_citrinellus ENSACIG00000000267
takifugu_rubripes ENSTRUG00000017448
tetraodon_nigroviridis ENSTNIG00000009364
cynoglossus_semilaevis ENSCSEG00000019478
periophthalmus_magnuspinnatus ENSPMGG00000002066
gadus_morhua ENSGMOG00000002041
esox_lucius ENSELUG00000015852
astyanax_mexicanus ENSAMXG00000010162
pygocentrus_nattereri ENSPNAG00000014583
ictalurus_punctatus ENSIPUG00000010291
danio_rerio ENSDARG00000009170
scleropages_formosus ENSSFOG00015004565
paramormyrops_kingsleyae ENSPKIG00000022784
lepisosteus_oculatus ENSLOCG00000003894
phascolarctos_cinereus ENSPCIG00000023374
notamacropus_eugenii ENSMEUG00000004143
sarcophilus_harrisii ENSSHAG00000000556
monodelphis_domestica ENSMODG00000008303
ornithorhynchus_anatinus ENSOANG00000000255
chinchilla_lanigera ENSCLAG00000016918
octodon_degus ENSODEG00000007462
cavia_porcellus ENSCPOG00000009018
cavia_aperea ENSCAPG00000010630
heterocephalus_glaber_male ENSHGLG00100008821
heterocephalus_glaber_female ENSHGLG00000004887
fukomys_damarensis ENSFDAG00000010422
tupaia_belangeri ENSTBEG00000008359
carlito_syrichta ENSTSYG00000006144
vicugna_pacos ENSVPAG00000010171
echinops_telfairi ENSETEG00000017690
erinaceus_europaeus ENSEEUG00000011805
ornithorhynchus_anatinus ENSOANG00000021496
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031444
mus_musculus ENSMUSG00000005609
mus_spicilegus ENSMSIG00000028218
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030329
mus_pahari MGP_PahariEiJ_G0013541
rattus_norvegicus ENSRNOG00000017195
meriones_unguiculatus ENSMUGG00000011048
cricetulus_griseus_crigri-picr ENSCGRG00015006563
cricetulus_griseus_crigri ENSCGRG00000005646
cricetulus_griseus_chok1gshd ENSCGRG00001019483
mesocricetus_auratus ENSMAUG00000016366
peromyscus_maniculatus_bairdii ENSPEMG00000009152
microtus_ochrogaster ENSMOCG00000020082
nannospalax_galili ENSNGAG00000023664
castor_canadensis ENSCCNG00000021152
urocitellus_parryii ENSUPAG00010016173
ictidomys_tridecemlineatus ENSSTOG00000013594
spermophilus_dauricus ENSSDAG00000021752
marmota_marmota_marmota ENSMMMG00000000956
dipodomys_ordii ENSDORG00000000017
jaculus_jaculus ENSJJAG00000003972
oryctolagus_cuniculus ENSOCUG00000013302
ochotona_princeps ENSOPRG00000006272
microcebus_murinus ENSMICG00000017459
propithecus_coquereli ENSPCOG00000014337
prolemur_simus ENSPSMG00000020817
otolemur_garnettii ENSOGAG00000013884
pan_paniscus ENSPPAG00000040037
pan_troglodytes ENSPTRG00000023779
homo_sapiens ENSG00000198730
gorilla_gorilla ENSGGOG00000011435
pongo_abelii ENSPPYG00000003486
nomascus_leucogenys ENSNLEG00000017616
macaca_fascicularis ENSMFAG00000045504
macaca_mulatta ENSMMUG00000011438
macaca_nemestrina ENSMNEG00000043569
theropithecus_gelada ENSTGEG00000015758
papio_anubis ENSPANG00000019132
mandrillus_leucophaeus ENSMLEG00000026645
chlorocebus_sabaeus ENSCSAG00000004587
piliocolobus_tephrosceles ENSPTEG00000007943
colobus_angolensis_palliatus ENSCANG00000038801
rhinopithecus_roxellana ENSRROG00000034178
rhinopithecus_bieti ENSRBIG00000044347
cebus_capucinus ENSCCAG00000038029
saimiri_boliviensis_boliviensis ENSSBOG00000032978
callithrix_jacchus ENSCJAG00000010795
aotus_nancymaae ENSANAG00000038032
procavia_capensis ENSPCAG00000004586
loxodonta_africana ENSLAFG00000012801
cercocebus_atys ENSCATG00000033343
ursus_maritimus ENSUMAG00000015262
ursus_americanus ENSUAMG00000019979
ailuropoda_melanoleuca ENSAMEG00000014570
neovison_vison ENSNVIG00000010339
mustela_putorius_furo ENSMPUG00000012875
canis_lupus_familiaris ENSCAFG00000007638
canis_lupus_dingo ENSCAFG00020014706
vulpes_vulpes ENSVVUG00000025690
panthera_tigris_altaica ENSPTIG00000011616
panthera_pardus ENSPPRG00000012814
felis_catus ENSFCAG00000000407
choloepus_hoffmanni ENSCHOG00000002568
dasypus_novemcinctus ENSDNOG00000002216
pteropus_vampyrus ENSPVAG00000016827
myotis_lucifugus ENSMLUG00000006212
sorex_araneus ENSSARG00000000331
ovis_aries ENSOARG00000010482
capra_hircus ENSCHIG00000011919
bos_mutus ENSBMUG00000000581
bos_taurus ENSBTAG00000015566
bison_bison_bison ENSBBBG00000012163
tursiops_truncatus ENSTTRG00000012321
sus_scrofa ENSSSCG00000013406
equus_caballus ENSECAG00000010969
equus_asinus_asinus ENSEASG00005005878
chelonoidis_abingdonii ENSCABG00000003395
gopherus_agassizii ENSGAGG00000001758
chrysemys_picta_bellii ENSCPBG00000005248
pelodiscus_sinensis ENSPSIG00000006368
anolis_carolinensis ENSACAG00000008611
pogona_vitticeps ENSPVIG00000022773
notechis_scutatus ENSNSUG00000014052
salvator_merianae ENSSMRG00000015054
sphenodon_punctatus ENSSPUG00000013964
apteryx_owenii ENSAOWG00000017621
apteryx_haastii ENSAHAG00000013881
apteryx_rowi ENSARWG00000015576
dromaius_novaehollandiae ENSDNVG00000007292
nothoprocta_perdicaria ENSNPEG00000013535
coturnix_japonica ENSCJPG00005002727
gallus_gallus ENSGALG00000005618
meleagris_gallopavo ENSMGAG00000005904
numida_meleagris ENSNMEG00000009870
anser_brachyrhynchus ENSABRG00000022471
anas_platyrhynchos_platyrhynchos ENSAPLG00000005343
manacus_vitellinus ENSMVIG00005013800
lepidothrix_coronata ENSLCOG00000001333
taeniopygia_guttata ENSTGUG00000007907
lonchura_striata_domestica ENSLSDG00000011407
zonotrichia_albicollis ENSZALG00000010113
junco_hyemalis ENSJHYG00000001437
serinus_canaria ENSSCAG00000008086
parus_major ENSPMJG00000005691
cyanistes_caeruleus ENSCCEG00000016964
ficedula_albicollis ENSFALG00000001017
melopsittacus_undulatus ENSMUNG00000009829
calidris_pygmaea ENSCPGG00000004463
calidris_pugnax ENSCPUG00000014706
crocodylus_porosus ENSCPRG00005005568
xenopus_tropicalis ENSXETG00000013673
latimeria_chalumnae ENSLACG00000018335
cercocebus_atys ENSCATG00000032340
prolemur_simus ENSPSMG00000002782
chelonoidis_abingdonii ENSCABG00000003403
parus_major ENSPMJG00000006038
petromyzon_marinus ENSPMAG00000005977
eptatretus_burgeri ENSEBUG00000003599
ciona_savignyi ENSCSAVG00000002230
ciona_intestinalis ENSCING00000008994
drosophila_melanogaster FBgn0035205
saccharomyces_cerevisiae YOL145C
