lepidothrix_coronata ENSLCOG00000011108
manacus_vitellinus ENSMVIG00005017530
zonotrichia_albicollis ENSZALG00000013968
dromaius_novaehollandiae ENSDNVG00000013748
notechis_scutatus ENSNSUG00000010716
panthera_pardus ENSPPRG00000008114
sus_scrofa ENSSSCG00000039725
rhinopithecus_bieti ENSRBIG00000043370
rhinopithecus_roxellana ENSRROG00000031607
pan_paniscus ENSPPAG00000029858
macaca_nemestrina ENSMNEG00000036052
colobus_angolensis_palliatus ENSCANG00000039332
nomascus_leucogenys ENSNLEG00000010172
saimiri_boliviensis_boliviensis ENSSBOG00000026169
papio_anubis ENSPANG00000031265
microcebus_murinus ENSMICG00000027812
