salvator_merianae ENSSMRG00000014650
anolis_carolinensis ENSACAG00000008172
sphenodon_punctatus ENSSPUG00000006189
chelonoidis_abingdonii ENSCABG00000003985
chrysemys_picta_bellii ENSCPBG00000004120
pelodiscus_sinensis ENSPSIG00000006107
calidris_pugnax ENSCPUG00000001354
calidris_pygmaea ENSCPGG00000009623
taeniopygia_guttata ENSTGUG00000004004
lonchura_striata_domestica ENSLSDG00000012661
junco_hyemalis ENSJHYG00000004242
zonotrichia_albicollis ENSZALG00000005522
ficedula_albicollis ENSFALG00000012272
cyanistes_caeruleus ENSCCEG00000011858
lepidothrix_coronata ENSLCOG00000006453
manacus_vitellinus ENSMVIG00005015424
melopsittacus_undulatus ENSMUNG00000002197
gallus_gallus ENSGALG00000016124
coturnix_japonica ENSCJPG00005009540
meleagris_gallopavo ENSMGAG00000005795
numida_meleagris ENSNMEG00000014455
apteryx_owenii ENSAOWG00000012419
apteryx_haastii ENSAHAG00000002154
dromaius_novaehollandiae ENSDNVG00000004891
nothoprocta_perdicaria ENSNPEG00000001848
anas_platyrhynchos_platyrhynchos ENSAPLG00000007402
anser_brachyrhynchus ENSABRG00000007612
crocodylus_porosus ENSCPRG00005005866
xenopus_tropicalis ENSXETG00000021105
mandrillus_leucophaeus ENSMLEG00000028040
cercocebus_atys ENSCATG00000040474
theropithecus_gelada ENSTGEG00000001012
chlorocebus_sabaeus ENSCSAG00000003972
macaca_fascicularis ENSMFAG00000033488
macaca_nemestrina ENSMNEG00000031684
papio_anubis ENSPANG00000009529
macaca_mulatta ENSMMUG00000023254
rhinopithecus_roxellana ENSRROG00000035178
rhinopithecus_bieti ENSRBIG00000002438
colobus_angolensis_palliatus ENSCANG00000012550
piliocolobus_tephrosceles ENSPTEG00000033990
homo_sapiens ENSG00000138796
gorilla_gorilla ENSGGOG00000004423
pan_paniscus ENSPPAG00000034253
pan_troglodytes ENSPTRG00000016351
pongo_abelii ENSPPYG00000014986
nomascus_leucogenys ENSNLEG00000012951
saimiri_boliviensis_boliviensis ENSSBOG00000021987
cebus_capucinus ENSCCAG00000036897
callithrix_jacchus ENSCJAG00000015938
aotus_nancymaae ENSANAG00000024891
carlito_syrichta ENSTSYG00000011033
propithecus_coquereli ENSPCOG00000010610
prolemur_simus ENSPSMG00000008870
microcebus_murinus ENSMICG00000012822
otolemur_garnettii ENSOGAG00000004364
dipodomys_ordii ENSDORG00000015829
castor_canadensis ENSCCNG00000024711
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026591
mus_spicilegus ENSMSIG00000030700
mus_musculus ENSMUSG00000027984
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025638
mus_pahari MGP_PahariEiJ_G0027087
rattus_norvegicus ENSRNOG00000010697
meriones_unguiculatus ENSMUGG00000021930
cricetulus_griseus_crigri ENSCGRG00000001658
cricetulus_griseus_crigri-picr ENSCGRG00015005840
cricetulus_griseus_chok1gshd ENSCGRG00001022551
mesocricetus_auratus ENSMAUG00000015697
peromyscus_maniculatus_bairdii ENSPEMG00000020330
microtus_ochrogaster ENSMOCG00000002166
nannospalax_galili ENSNGAG00000023972
jaculus_jaculus ENSJJAG00000016435
ictidomys_tridecemlineatus ENSSTOG00000001362
marmota_marmota_marmota ENSMMMG00000010164
urocitellus_parryii ENSUPAG00010008957
spermophilus_dauricus ENSSDAG00000022867
urocitellus_parryii ENSUPAG00010013790
marmota_marmota_marmota ENSMMMG00000009802
spermophilus_dauricus ENSSDAG00000005104
ursus_americanus ENSUAMG00000027141
ursus_maritimus ENSUMAG00000000448
ailuropoda_melanoleuca ENSAMEG00000001814
mustela_putorius_furo ENSMPUG00000008891
canis_lupus_dingo ENSCAFG00020010045
canis_lupus_familiaris ENSCAFG00000011216
vulpes_vulpes ENSVVUG00000017423
panthera_pardus ENSPPRG00000020822
panthera_tigris_altaica ENSPTIG00000014249
felis_catus ENSFCAG00000022260
equus_caballus ENSECAG00000020211
myotis_lucifugus ENSMLUG00000008844
pteropus_vampyrus ENSPVAG00000016127
ovis_aries ENSOARG00000008236
capra_hircus ENSCHIG00000013637
bos_taurus ENSBTAG00000039406
bison_bison_bison ENSBBBG00000015327
bos_mutus ENSBMUG00000018393
bos_taurus ENSBTAG00000002049
bison_bison_bison ENSBBBG00000023720
capra_hircus ENSCHIG00000007828
sus_scrofa ENSSSCG00000009150
tursiops_truncatus ENSTTRG00000008088
loxodonta_africana ENSLAFG00000016430
procavia_capensis ENSPCAG00000012217
echinops_telfairi ENSETEG00000013807
dasypus_novemcinctus ENSDNOG00000000868
oryctolagus_cuniculus ENSOCUG00000014271
ochotona_princeps ENSOPRG00000002202
chinchilla_lanigera ENSCLAG00000003966
octodon_degus ENSODEG00000011168
heterocephalus_glaber_male ENSHGLG00100013582
heterocephalus_glaber_female ENSHGLG00000000793
fukomys_damarensis ENSFDAG00000015123
cavia_porcellus ENSCPOG00000024229
cavia_aperea ENSCAPG00000017653
erinaceus_europaeus ENSEEUG00000012259
phascolarctos_cinereus ENSPCIG00000030521
notamacropus_eugenii ENSMEUG00000004368
sarcophilus_harrisii ENSSHAG00000004987
monodelphis_domestica ENSMODG00000020605
ornithorhynchus_anatinus ENSOANG00000007748
latimeria_chalumnae ENSLACG00000003125
astyanax_mexicanus ENSAMXG00000010252
pygocentrus_nattereri ENSPNAG00000019256
ictalurus_punctatus ENSIPUG00000008863
danio_rerio ENSDARG00000030765
periophthalmus_magnuspinnatus ENSPMGG00000008258
hippocampus_comes ENSHCOG00000004334
scophthalmus_maximus ENSSMAG00000006932
cynoglossus_semilaevis ENSCSEG00000011658
seriola_dumerili ENSSDUG00000001972
seriola_lalandi_dorsalis ENSSLDG00000023472
mastacembelus_armatus ENSMAMG00000015669
amphiprion_ocellaris ENSAOCG00000017553
amphiprion_percula ENSAPEG00000014140
acanthochromis_polyacanthus ENSAPOG00000010303
stegastes_partitus ENSSPAG00000001343
amphilophus_citrinellus ENSACIG00000019122
fundulus_heteroclitus ENSFHEG00000006300
cyprinodon_variegatus ENSCVAG00000002260
poecilia_formosa ENSPFOG00000010973
poecilia_mexicana ENSPMEG00000009447
poecilia_latipinna ENSPLAG00000011278
poecilia_reticulata ENSPREG00000002550
xiphophorus_maculatus ENSXMAG00000010227
gambusia_affinis ENSGAFG00000016089
kryptolebias_marmoratus ENSKMAG00000001893
oryzias_latipes_asm223469v1 ENSORLG00015020714
oryzias_latipes ENSORLG00000006891
oryzias_latipes ENSORLG00020020531
oryzias_melastigma ENSOMEG00000005991
takifugu_rubripes ENSTRUG00000025695
tetraodon_nigroviridis ENSTNIG00000018023
mola_mola ENSMMOG00000006351
labrus_bergylta ENSLBEG00000014926
gadus_morhua ENSGMOG00000017363
esox_lucius ENSELUG00000016785
scleropages_formosus ENSSFOG00015018506
scleropages_formosus ENSSFOG00015018540
paramormyrops_kingsleyae ENSPKIG00000012813
lepisosteus_oculatus ENSLOCG00000012288
petromyzon_marinus ENSPMAG00000006400
