crocodylus_porosus ENSCPRG00005018236
sphenodon_punctatus ENSSPUG00000002458
gopherus_agassizii ENSGAGG00000003406
chelonoidis_abingdonii ENSCABG00000008679
chrysemys_picta_bellii ENSCPBG00000008090
notechis_scutatus ENSNSUG00000013526
salvator_merianae ENSSMRG00000015968
gallus_gallus ENSGALG00000037082
coturnix_japonica ENSCJPG00005020359
numida_meleagris ENSNMEG00000012005
anser_brachyrhynchus ENSABRG00000012208
junco_hyemalis ENSJHYG00000007650
lepidothrix_coronata ENSLCOG00000009743
parus_major ENSPMJG00000008887
lonchura_striata_domestica ENSLSDG00000014930
calidris_pygmaea ENSCPGG00000010930
calidris_pugnax ENSCPUG00000006529
nothoprocta_perdicaria ENSNPEG00000011417
dromaius_novaehollandiae ENSDNVG00000014154
xenopus_tropicalis ENSXETG00000002872
capra_hircus ENSCHIG00000013292
ovis_aries ENSOARG00000015879
bos_taurus ENSBTAG00000016227
bison_bison_bison ENSBBBG00000003978
sus_scrofa ENSSSCG00000034557
canis_lupus_familiaris ENSCAFG00000007324
canis_lupus_dingo ENSCAFG00020024624
jaculus_jaculus ENSJJAG00000016132
marmota_marmota_marmota ENSMMMG00000017578
saimiri_boliviensis_boliviensis ENSSBOG00000007080
ursus_americanus ENSUAMG00000008338
ailuropoda_melanoleuca ENSAMEG00000006449
vulpes_vulpes ENSVVUG00000017907
carlito_syrichta ENSTSYG00000032547
tursiops_truncatus ENSTTRG00000016243
neovison_vison ENSNVIG00000010437
vicugna_pacos ENSVPAG00000002018
equus_asinus_asinus ENSEASG00005020171
equus_caballus ENSECAG00000036896
pteropus_vampyrus ENSPVAG00000011272
mus_musculus ENSMUSG00000020052
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016517
mus_spicilegus ENSMSIG00000031264
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015699
mus_pahari MGP_PahariEiJ_G0031386
rattus_norvegicus ENSRNOG00000004294
meriones_unguiculatus ENSMUGG00000024340
meriones_unguiculatus ENSMUGG00000024345
cricetulus_griseus_crigri-picr ENSCGRG00015013765
cricetulus_griseus_chok1gshd ENSCGRG00001020607
cricetulus_griseus_crigri ENSCGRG00000012838
mesocricetus_auratus ENSMAUG00000020431
peromyscus_maniculatus_bairdii ENSPEMG00000021891
microtus_ochrogaster ENSMOCG00000014507
nannospalax_galili ENSNGAG00000022000
ictidomys_tridecemlineatus ENSSTOG00000028420
urocitellus_parryii ENSUPAG00010002712
castor_canadensis ENSCCNG00000009104
oryctolagus_cuniculus ENSOCUG00000006992
propithecus_coquereli ENSPCOG00000026760
prolemur_simus ENSPSMG00000012377
microcebus_murinus ENSMICG00000001967
otolemur_garnettii ENSOGAG00000030324
callithrix_jacchus ENSCJAG00000014345
cebus_capucinus ENSCCAG00000020642
aotus_nancymaae ENSANAG00000018134
pan_troglodytes ENSPTRG00000005366
pan_paniscus ENSPPAG00000036317
gorilla_gorilla ENSGGOG00000005479
homo_sapiens ENSG00000139352
pongo_abelii ENSPPYG00000004884
nomascus_leucogenys ENSNLEG00000031286
mandrillus_leucophaeus ENSMLEG00000029400
papio_anubis ENSPANG00000006618
macaca_fascicularis ENSMFAG00000043919
macaca_nemestrina ENSMNEG00000037876
macaca_mulatta ENSMMUG00000005747
cercocebus_atys ENSCATG00000032568
theropithecus_gelada ENSTGEG00000009004
chlorocebus_sabaeus ENSCSAG00000018938
rhinopithecus_roxellana ENSRROG00000034690
rhinopithecus_bieti ENSRBIG00000029242
piliocolobus_tephrosceles ENSPTEG00000013372
colobus_angolensis_palliatus ENSCANG00000036186
dasypus_novemcinctus ENSDNOG00000001616
octodon_degus ENSODEG00000019928
cavia_porcellus ENSCPOG00000020666
chinchilla_lanigera ENSCLAG00000007149
heterocephalus_glaber_male ENSHGLG00100007145
heterocephalus_glaber_female ENSHGLG00000008438
phascolarctos_cinereus ENSPCIG00000009761
sarcophilus_harrisii ENSSHAG00000011936
monodelphis_domestica ENSMODG00000002347
ornithorhynchus_anatinus ENSOANG00000013973
latimeria_chalumnae ENSLACG00000010712
pogona_vitticeps ENSPVIG00000014350
scleropages_formosus ENSSFOG00015001095
eptatretus_burgeri ENSEBUG00000007747
eptatretus_burgeri ENSEBUG00000008389
