melopsittacus_undulatus ENSMUNG00000007379
coturnix_japonica ENSCJPG00005017107
lonchura_striata_domestica ENSLSDG00000014923
serinus_canaria ENSSCAG00000015544
zonotrichia_albicollis ENSZALG00000011829
cyanistes_caeruleus ENSCCEG00000018778
parus_major ENSPMJG00000006616
calidris_pygmaea ENSCPGG00000015218
calidris_pugnax ENSCPUG00000018504
apteryx_haastii ENSAHAG00000017898
apteryx_rowi ENSARWG00000009507
apteryx_owenii ENSAOWG00000009493
dromaius_novaehollandiae ENSDNVG00000013371
anser_brachyrhynchus ENSABRG00000020801
nothoprocta_perdicaria ENSNPEG00000008526
notechis_scutatus ENSNSUG00000019704
phascolarctos_cinereus ENSPCIG00000001036
anser_brachyrhynchus ENSABRG00000020799
coturnix_japonica ENSCJPG00005017109
lonchura_striata_domestica ENSLSDG00000014926
cyanistes_caeruleus ENSCCEG00000018775
gopherus_agassizii ENSGAGG00000014320
chelonoidis_abingdonii ENSCABG00000008691
crocodylus_porosus ENSCPRG00005000221
scophthalmus_maximus ENSSMAG00000020590
stegastes_partitus ENSSPAG00000000531
scleropages_formosus ENSSFOG00015023520
chrysemys_picta_bellii ENSCPBG00000018708
chelonoidis_abingdonii ENSCABG00000008694
salvator_merianae ENSSMRG00000011708
urocitellus_parryii ENSUPAG00010000945
spermophilus_dauricus ENSSDAG00000012870
neovison_vison ENSNVIG00000011514
amphiprion_percula ENSAPEG00000019286
amphiprion_ocellaris ENSAOCG00000008249
stegastes_partitus ENSSPAG00000009209
xiphophorus_couchianus ENSXCOG00000013203
poecilia_reticulata ENSPREG00000001510
oryzias_melastigma ENSOMEG00000014524
monopterus_albus ENSMALG00000011083
mastacembelus_armatus ENSMAMG00000009987
seriola_lalandi_dorsalis ENSSLDG00000013132
esox_lucius ENSELUG00000003126
