mola_mola ENSMMOG00000015788
labrus_bergylta ENSLBEG00000010170
xiphophorus_maculatus ENSXMAG00000010892
xiphophorus_couchianus ENSXCOG00000019163
gambusia_affinis ENSGAFG00000021628
poecilia_mexicana ENSPMEG00000004683
poecilia_formosa ENSPFOG00000015828
poecilia_latipinna ENSPLAG00000009453
poecilia_reticulata ENSPREG00000013451
fundulus_heteroclitus ENSFHEG00000010355
oryzias_latipes ENSORLG00020003337
oryzias_latipes ENSORLG00000022733
oryzias_latipes_asm223469v1 ENSORLG00015008873
amphiprion_ocellaris ENSAOCG00000007844
amphiprion_percula ENSAPEG00000010588
acanthochromis_polyacanthus ENSAPOG00000006397
stegastes_partitus ENSSPAG00000018623
astatotilapia_calliptera ENSACLG00000025805
maylandia_zebra ENSMZEG00005018375
pundamilia_nyererei ENSPNYG00000022474
haplochromis_burtoni ENSHBUG00000017262
neolamprologus_brichardi ENSNBRG00000020440
oreochromis_niloticus ENSONIG00000013069
amphilophus_citrinellus ENSACIG00000013938
monopterus_albus ENSMALG00000022534
mastacembelus_armatus ENSMAMG00000004239
anabas_testudineus ENSATEG00000020101
scophthalmus_maximus ENSSMAG00000009488
cynoglossus_semilaevis ENSCSEG00000019617
seriola_lalandi_dorsalis ENSSLDG00000025303
seriola_dumerili ENSSDUG00000014313
periophthalmus_magnuspinnatus ENSPMGG00000023912
esox_lucius ENSELUG00000006691
pygocentrus_nattereri ENSPNAG00000020789
astyanax_mexicanus ENSAMXG00000017888
ictalurus_punctatus ENSIPUG00000005534
danio_rerio ENSDARG00000100809
scleropages_formosus ENSSFOG00015014391
paramormyrops_kingsleyae ENSPKIG00000016434
