pelodiscus_sinensis ENSPSIG00000008757
taeniopygia_guttata ENSTGUG00000013171
anolis_carolinensis ENSACAG00000009389
loxodonta_africana ENSLAFG00000016780
procavia_capensis ENSPCAG00000001228
echinops_telfairi ENSETEG00000005963
myotis_lucifugus ENSMLUG00000016268
pteropus_vampyrus ENSPVAG00000016181
tursiops_truncatus ENSTTRG00000002070
erinaceus_europaeus ENSEEUG00000001438
ochotona_princeps ENSOPRG00000007436
tupaia_belangeri ENSTBEG00000001017
notamacropus_eugenii ENSMEUG00000015626
sarcophilus_harrisii ENSSHAG00000006833
ornithorhynchus_anatinus ENSOANG00000005195
ornithorhynchus_anatinus ENSOANG00000030700
latimeria_chalumnae ENSLACG00000016518
gasterosteus_aculeatus ENSGACG00000013611
fundulus_heteroclitus ENSFHEG00000005794
gadus_morhua ENSGMOG00000006968
