heterocephalus_glaber_male ENSHGLG00100020877
heterocephalus_glaber_female ENSHGLG00000019641
fukomys_damarensis ENSFDAG00000005599
chinchilla_lanigera ENSCLAG00000017431
urocitellus_parryii ENSUPAG00010014847
ictidomys_tridecemlineatus ENSSTOG00000025867
mus_spicilegus ENSMSIG00000016570
mus_musculus ENSMUSG00000043384
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034577
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033408
mus_pahari MGP_PahariEiJ_G0031948
rattus_norvegicus ENSRNOG00000049985
meriones_unguiculatus ENSMUGG00000004679
cricetulus_griseus_chok1gshd ENSCGRG00001008886
cricetulus_griseus_crigri-picr ENSCGRG00015002459
cricetulus_griseus_crigri ENSCGRG00000009096
peromyscus_maniculatus_bairdii ENSPEMG00000029192
nannospalax_galili ENSNGAG00000013442
jaculus_jaculus ENSJJAG00000021689
dipodomys_ordii ENSDORG00000027657
oryctolagus_cuniculus ENSOCUG00000002182
prolemur_simus ENSPSMG00000002689
microcebus_murinus ENSMICG00000032589
otolemur_garnettii ENSOGAG00000025985
otolemur_garnettii ENSOGAG00000034365
homo_sapiens ENSG00000198932
pan_troglodytes ENSPTRG00000028232
pongo_abelii ENSPPYG00000029505
nomascus_leucogenys ENSNLEG00000032300
macaca_mulatta ENSMMUG00000046251
macaca_fascicularis ENSMFAG00000030887
mandrillus_leucophaeus ENSMLEG00000004023
theropithecus_gelada ENSTGEG00000012605
papio_anubis ENSPANG00000007308
callithrix_jacchus ENSCJAG00000023310
cebus_capucinus ENSCCAG00000023994
bos_mutus ENSBMUG00000021280
bos_taurus ENSBTAG00000047213
ovis_aries ENSOARG00000002182
tursiops_truncatus ENSTTRG00000011449
sus_scrofa ENSSSCG00000012519
ursus_maritimus ENSUMAG00000000960
ursus_americanus ENSUAMG00000002084
ailuropoda_melanoleuca ENSAMEG00000004201
mustela_putorius_furo ENSMPUG00000013064
neovison_vison ENSNVIG00000014872
canis_lupus_dingo ENSCAFG00020007196
canis_lupus_familiaris ENSCAFG00000017775
vulpes_vulpes ENSVVUG00000001700
equus_caballus ENSECAG00000031861
dasypus_novemcinctus ENSDNOG00000017527
