ochotona_princeps ENSOPRG00000008713
piliocolobus_tephrosceles ENSPTEG00000019950
tursiops_truncatus ENSTTRG00000010341
heterocephalus_glaber_male ENSHGLG00100015885
heterocephalus_glaber_female ENSHGLG00000008234
fukomys_damarensis ENSFDAG00000017616
cavia_porcellus ENSCPOG00000032932
chinchilla_lanigera ENSCLAG00000008337
dipodomys_ordii ENSDORG00000007685
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019802
mus_spicilegus ENSMSIG00000003648
mus_musculus ENSMUSG00000021732
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018923
mus_pahari MGP_PahariEiJ_G0015993
rattus_norvegicus ENSRNOG00000012278
meriones_unguiculatus ENSMUGG00000002723
cricetulus_griseus_crigri ENSCGRG00000014138
cricetulus_griseus_chok1gshd ENSCGRG00001005274
cricetulus_griseus_crigri-picr ENSCGRG00015020466
mesocricetus_auratus ENSMAUG00000012052
peromyscus_maniculatus_bairdii ENSPEMG00000019519
microtus_ochrogaster ENSMOCG00000009474
nannospalax_galili ENSNGAG00000021554
jaculus_jaculus ENSJJAG00000007774
urocitellus_parryii ENSUPAG00010003651
marmota_marmota_marmota ENSMMMG00000010011
spermophilus_dauricus ENSSDAG00000000206
ictidomys_tridecemlineatus ENSSTOG00000023167
castor_canadensis ENSCCNG00000010414
oryctolagus_cuniculus ENSOCUG00000008499
tupaia_belangeri ENSTBEG00000005547
gorilla_gorilla ENSGGOG00000004647
homo_sapiens ENSG00000070193
pan_troglodytes ENSPTRG00000051664
pan_paniscus ENSPPAG00000039278
pongo_abelii ENSPPYG00000015444
nomascus_leucogenys ENSNLEG00000031462
rhinopithecus_roxellana ENSRROG00000019051
rhinopithecus_bieti ENSRBIG00000007273
colobus_angolensis_palliatus ENSCANG00000027255
macaca_fascicularis ENSMFAG00000003698
macaca_mulatta ENSMMUG00000047162
macaca_nemestrina ENSMNEG00000033964
cercocebus_atys ENSCATG00000038941
papio_anubis ENSPANG00000004001
mandrillus_leucophaeus ENSMLEG00000029055
theropithecus_gelada ENSTGEG00000011309
chlorocebus_sabaeus ENSCSAG00000016741
cebus_capucinus ENSCCAG00000030310
callithrix_jacchus ENSCJAG00000039806
saimiri_boliviensis_boliviensis ENSSBOG00000019373
aotus_nancymaae ENSANAG00000038395
carlito_syrichta ENSTSYG00000033585
microcebus_murinus ENSMICG00000034543
propithecus_coquereli ENSPCOG00000003326
prolemur_simus ENSPSMG00000009567
otolemur_garnettii ENSOGAG00000001148
bos_taurus ENSBTAG00000051910
bos_mutus ENSBMUG00000023026
bison_bison_bison ENSBBBG00000010941
ovis_aries ENSOARG00000008545
capra_hircus ENSCHIG00000012683
vicugna_pacos ENSVPAG00000007069
sus_scrofa ENSSSCG00000016878
ursus_americanus ENSUAMG00000007031
ursus_maritimus ENSUMAG00000005901
ailuropoda_melanoleuca ENSAMEG00000000586
neovison_vison ENSNVIG00000003381
mustela_putorius_furo ENSMPUG00000014408
canis_lupus_familiaris ENSCAFG00000032695
canis_lupus_dingo ENSCAFG00020023081
vulpes_vulpes ENSVVUG00000025452
panthera_tigris_altaica ENSPTIG00000017289
panthera_pardus ENSPPRG00000001904
felis_catus ENSFCAG00000036606
pteropus_vampyrus ENSPVAG00000009401
erinaceus_europaeus ENSEEUG00000000379
equus_caballus ENSECAG00000014361
dasypus_novemcinctus ENSDNOG00000039831
choloepus_hoffmanni ENSCHOG00000004623
loxodonta_africana ENSLAFG00000017113
procavia_capensis ENSPCAG00000007462
myotis_lucifugus ENSMLUG00000022475
equus_asinus_asinus ENSEASG00005013469
octodon_degus ENSODEG00000000256
notamacropus_eugenii ENSMEUG00000004675
phascolarctos_cinereus ENSPCIG00000011758
monodelphis_domestica ENSMODG00000020271
ornithorhynchus_anatinus ENSOANG00000001660
chelonoidis_abingdonii ENSCABG00000018055
gopherus_agassizii ENSGAGG00000000390
chrysemys_picta_bellii ENSCPBG00000007642
pelodiscus_sinensis ENSPSIG00000004248
anser_brachyrhynchus ENSABRG00000011131
anas_platyrhynchos_platyrhynchos ENSAPLG00000028522
coturnix_japonica ENSCJPG00005011004
manacus_vitellinus ENSMVIG00005009124
lepidothrix_coronata ENSLCOG00000007160
lonchura_striata_domestica ENSLSDG00000005772
taeniopygia_guttata ENSTGUG00000002333
serinus_canaria ENSSCAG00000016505
parus_major ENSPMJG00000015869
zonotrichia_albicollis ENSZALG00000003375
ficedula_albicollis ENSFALG00000011203
meleagris_gallopavo ENSMGAG00000016194
