chrysemys_picta ENSCPBG00000000872
chelonoidis_abingdonii ENSCABG00000011198
apteryx_owenii ENSAOWG00000005561
propithecus_coquereli ENSPCOG00000022280
microcebus_murinus ENSMICG00000046814
prolemur_simus ENSPSMG00000015646
otolemur_garnettii ENSOGAG00000031708
homo_sapiens ENSG00000143067
pan_troglodytes ENSPTRG00000001177
gorilla_gorilla ENSGGOG00000006415
pongo_abelii ENSPPYG00000000963
nomascus_leucogenys ENSNLEG00000005403
macaca_mulatta ENSMMUG00000060016
macaca_fascicularis ENSMFAG00000041585
macaca_nemestrina ENSMNEG00000032913
mandrillus_leucophaeus ENSMLEG00000034151
papio_anubis ENSPANG00000018117
theropithecus_gelada ENSTGEG00000008515
cercocebus_atys ENSCATG00000002584
chlorocebus_sabaeus ENSCSAG00000001718
colobus_angolensis ENSCANG00000033732
piliocolobus_tephrosceles ENSPTEG00000033895
rhinopithecus_roxellana ENSRROG00000037369
rhinopithecus_bieti ENSRBIG00000028030
cebus_capucinus ENSCCAG00000004907
callithrix_jacchus ENSCJAG00000022909
saimiri_boliviensis ENSSBOG00000020430
aotus_nancymaae ENSANAG00000035327
ictidomys_tridecemlineatus ENSSTOG00000028256
urocitellus_parryii ENSUPAG00010009865
marmota_marmota ENSMMMG00000015462
spermophilus_dauricus ENSSDAG00000003451
castor_canadensis ENSCCNG00000014936
heterocephalus_glaber ENSHGLG00000007526
heterocephalus_glaber ENSHGLG00100000331
fukomys_damarensis ENSFDAG00000015529
cavia_aperea ENSCAPG00000013137
cavia_porcellus ENSCPOG00000033846
chinchilla_lanigera ENSCLAG00000016771
octodon_degus ENSODEG00000001481
mus_musculus ENSMUSG00000050064
mus_spicilegus ENSMSIG00000022782
mus_spretus MGP_SPRETEiJ_G0026358
mus_caroli MGP_CAROLIEiJ_G0025412
mus_pahari MGP_PahariEiJ_G0026856
rattus_norvegicus ENSRNOG00000049090
rattus_norvegicus ENSRNOG00000048181
meriones_unguiculatus ENSMUGG00000016459
cricetulus_griseus ENSCGRG00001008232
cricetulus_griseus ENSCGRG00000010565
cricetulus_griseus ENSCGRG00015025425
mesocricetus_auratus ENSMAUG00000014216
peromyscus_maniculatus ENSPEMG00000025468
microtus_ochrogaster ENSMOCG00000021360
nannospalax_galili ENSNGAG00000019367
jaculus_jaculus ENSJJAG00000017598
oryctolagus_cuniculus ENSOCUG00000014070
ochotona_princeps ENSOPRG00000003907
tursiops_truncatus ENSTTRG00000009634
bos_indicus ENSBIXG00000024273
bos_indicus ENSBIXG00005021978
bos_taurus ENSBTAG00000032187
bos_mutus ENSBMUG00000012663
bison_bison ENSBBBG00000016456
capra_hircus ENSCHIG00000014100
ovis_aries ENSOARG00000020408
sus_scrofa ENSSSCG00000006718
ursus_americanus ENSUAMG00000024955
ailuropoda_melanoleuca ENSAMEG00000017683
neovison_vison ENSNVIG00000009291
mustela_putorius ENSMPUG00000001459
canis_lupus ENSCAFG00000041581
canis_lupus ENSCAFG00020020535
vulpes_vulpes ENSVVUG00000010812
panthera_tigris ENSPTIG00000002818
panthera_pardus ENSPPRG00000013640
felis_catus ENSFCAG00000026025
equus_caballus ENSECAG00000031539
equus_asinus ENSEASG00005006409
pteropus_vampyrus ENSPVAG00000014753
myotis_lucifugus ENSMLUG00000014249
sorex_araneus ENSSARG00000002465
dasypus_novemcinctus ENSDNOG00000036161
loxodonta_africana ENSLAFG00000032116
procavia_capensis ENSPCAG00000000999
phascolarctos_cinereus ENSPCIG00000009940
vombatus_ursinus ENSVURG00010008076
sarcophilus_harrisii ENSSHAG00000015795
monodelphis_domestica ENSMODG00000040515
notamacropus_eugenii ENSMEUG00000016303
ornithorhynchus_anatinus ENSOANG00000002253
dipodomys_ordii ENSDORG00000028932
