rhinopithecus_roxellana ENSRROG00000027545
piliocolobus_tephrosceles ENSPTEG00000033062
colobus_angolensis_palliatus ENSCANG00000006472
macaca_fascicularis ENSMFAG00000025676
macaca_mulatta ENSMMUG00000011084
papio_anubis ENSPANG00000011133
macaca_mulatta ENSMMUG00000048533
macaca_fascicularis ENSMFAG00000040622
macaca_nemestrina ENSMNEG00000039055
theropithecus_gelada ENSTGEG00000020230
colobus_angolensis_palliatus ENSCANG00000013553
gorilla_gorilla ENSGGOG00000023328
homo_sapiens ENSG00000139985
pan_paniscus ENSPPAG00000029592
pan_troglodytes ENSPTRG00000006493
pan_paniscus ENSPPAG00000028140
gorilla_gorilla ENSGGOG00000022673
theropithecus_gelada ENSTGEG00000006111
macaca_nemestrina ENSMNEG00000033605
cercocebus_atys ENSCATG00000034928
papio_anubis ENSPANG00000034799
mandrillus_leucophaeus ENSMLEG00000034674
pan_troglodytes ENSPTRG00000048603
saimiri_boliviensis_boliviensis ENSSBOG00000034308
cebus_capucinus ENSCCAG00000021051
aotus_nancymaae ENSANAG00000029077
carlito_syrichta ENSTSYG00000037084
microcebus_murinus ENSMICG00000034380
prolemur_simus ENSPSMG00000014274
otolemur_garnettii ENSOGAG00000032627
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018755
mus_spicilegus ENSMSIG00000026079
mus_musculus ENSMUSG00000008438
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017910
mus_pahari MGP_PahariEiJ_G0029667
meriones_unguiculatus ENSMUGG00000022265
cricetulus_griseus_chok1gshd ENSCGRG00001011315
cricetulus_griseus_crigri ENSCGRG00000019262
cricetulus_griseus_crigri-picr ENSCGRG00015028165
mesocricetus_auratus ENSMAUG00000008078
peromyscus_maniculatus_bairdii ENSPEMG00000000549
castor_canadensis ENSCCNG00000028796
heterocephalus_glaber_female ENSHGLG00000021282
heterocephalus_glaber_male ENSHGLG00100020774
fukomys_damarensis ENSFDAG00000018807
cavia_aperea ENSCAPG00000010922
urocitellus_parryii ENSUPAG00010015401
spermophilus_dauricus ENSSDAG00000009662
ictidomys_tridecemlineatus ENSSTOG00000028832
marmota_marmota_marmota ENSMMMG00000015081
oryctolagus_cuniculus ENSOCUG00000003758
ochotona_princeps ENSOPRG00000009383
tupaia_belangeri ENSTBEG00000009627
equus_asinus_asinus ENSEASG00005004827
erinaceus_europaeus ENSEEUG00000004811
vicugna_pacos ENSVPAG00000005562
sus_scrofa ENSSSCG00000002322
bos_mutus ENSBMUG00000000987
bos_taurus ENSBTAG00000003715
bison_bison_bison ENSBBBG00000024843
capra_hircus ENSCHIG00000009441
ovis_aries ENSOARG00000001068
ursus_americanus ENSUAMG00000018654
ursus_maritimus ENSUMAG00000009684
ailuropoda_melanoleuca ENSAMEG00000019588
mustela_putorius_furo ENSMPUG00000019183
neovison_vison ENSNVIG00000006741
canis_lupus_familiaris ENSCAFG00000016663
canis_lupus_dingo ENSCAFG00020005542
vulpes_vulpes ENSVVUG00000003910
felis_catus ENSFCAG00000029196
panthera_pardus ENSPPRG00000015954
myotis_lucifugus ENSMLUG00000013397
myotis_lucifugus ENSMLUG00000016919
castor_canadensis ENSCCNG00000028529
castor_canadensis ENSCCNG00000028534
cricetulus_griseus_crigri-picr ENSCGRG00015019632
peromyscus_maniculatus_bairdii ENSPEMG00000024737
rattus_norvegicus ENSRNOG00000057340
rattus_norvegicus ENSRNOG00000059297
meriones_unguiculatus ENSMUGG00000017986
loxodonta_africana ENSLAFG00000017700
