vulpes_vulpes ENSVVUG00000005736
dasypus_novemcinctus ENSDNOG00000036153
fukomys_damarensis ENSFDAG00000008475
cavia_aperea ENSCAPG00000016177
jaculus_jaculus ENSJJAG00000022794
nomascus_leucogenys ENSNLEG00000033762
tupaia_belangeri ENSTBEG00000000625
apteryx_owenii ENSAOWG00000005591
apteryx_haastii ENSAHAG00000006875
dromaius_novaehollandiae ENSDNVG00000006691
nothoprocta_perdicaria ENSNPEG00000001311
cyanistes_caeruleus ENSCCEG00000022873
bos_mutus ENSBMUG00000014151
sorex_araneus ENSSARG00000013206
rattus_norvegicus ENSRNOG00000000847
mus_pahari MGP_PahariEiJ_G0020500
urocitellus_parryii ENSUPAG00010020432
cebus_capucinus ENSCCAG00000028688
heterocephalus_glaber ENSHGLG00000005127
heterocephalus_glaber ENSHGLG00100017252
mustela_putorius ENSMPUG00000019611
panthera_pardus ENSPPRG00000003685
panthera_tigris ENSPTIG00000014544
mustela_putorius ENSMPUG00000011129
nannospalax_galili ENSNGAG00000021148
mus_spicilegus ENSMSIG00000005702
notamacropus_eugenii ENSMEUG00000004095
chelonoidis_abingdonii ENSCABG00000003247
notechis_scutatus ENSNSUG00000009497
ursus_maritimus ENSUMAG00000014145
bos_taurus ENSBTAG00000008837
cricetulus_griseus ENSCGRG00015028459
cricetulus_griseus ENSCGRG00000014644
octodon_degus ENSODEG00000017772
vombatus_ursinus ENSVURG00010002399
theropithecus_gelada ENSTGEG00000029385
chinchilla_lanigera ENSCLAG00000012176
sarcophilus_harrisii ENSSHAG00000001478
ovis_aries ENSOARG00000006774
bos_indicus ENSBIXG00000012651
equus_caballus ENSECAG00000021100
castor_canadensis ENSCCNG00000011264
peromyscus_maniculatus ENSPEMG00000013471
gopherus_agassizii ENSGAGG00000011083
pogona_vitticeps ENSPVIG00000006201
felis_catus ENSFCAG00000007642
bison_bison ENSBBBG00000004423
homo_sapiens ENSG00000204435
piliocolobus_tephrosceles ENSPTEG00000036661
aotus_nancymaae ENSANAG00000009490
carlito_syrichta ENSTSYG00000032719
otolemur_garnettii ENSOGAG00000010278
marmota_marmota ENSMMMG00000009952
loxodonta_africana ENSLAFG00000002703
sphenodon_punctatus ENSSPUG00000017206
bos_indicus ENSBIXG00005017519
myotis_lucifugus ENSMLUG00000009414
canis_lupus ENSCAFG00020020708
spermophilus_dauricus ENSSDAG00000006000
meriones_unguiculatus ENSMUGG00000004098
dipodomys_ordii ENSDORG00000014179
oryctolagus_cuniculus ENSOCUG00000023483
pongo_abelii ENSPPYG00000016448
callithrix_jacchus ENSCJAG00000002996
monodelphis_domestica ENSMODG00000040518
pelodiscus_sinensis ENSPSIG00000006829
tursiops_truncatus ENSTTRG00000014103
pteropus_vampyrus ENSPVAG00000012382
erinaceus_europaeus ENSEEUG00000006417
ailuropoda_melanoleuca ENSAMEG00000009272
neovison_vison ENSNVIG00000015823
propithecus_coquereli ENSPCOG00000019282
microcebus_murinus ENSMICG00000003676
cebus_capucinus ENSCCAG00000034759
saimiri_boliviensis ENSSBOG00000022247
aotus_nancymaae ENSANAG00000033625
microtus_ochrogaster ENSMOCG00000014968
mesocricetus_auratus ENSMAUG00000021192
jaculus_jaculus ENSJJAG00000013523
heterocephalus_glaber ENSHGLG00000011657
heterocephalus_glaber ENSHGLG00100016706
procavia_capensis ENSPCAG00000012873
echinops_telfairi ENSETEG00000015168
dasypus_novemcinctus ENSDNOG00000048286
chrysemys_picta ENSCPBG00000014709
anolis_carolinensis ENSACAG00000005751
xenopus_tropicalis ENSXETG00000001684
lepisosteus_oculatus ENSLOCG00000000693
carlito_syrichta ENSTSYG00000036036
aotus_nancymaae ENSANAG00000023536
meriones_unguiculatus ENSMUGG00000011049
capra_hircus ENSCHIG00000013556
choloepus_hoffmanni ENSCHOG00000011829
vombatus_ursinus ENSVURG00010003447
phascolarctos_cinereus ENSPCIG00000034196
vombatus_ursinus ENSVURG00010008739
phascolarctos_cinereus ENSPCIG00000035017
monodelphis_domestica ENSMODG00000046393
heterocephalus_glaber ENSHGLG00000006199
heterocephalus_glaber ENSHGLG00100008971
phascolarctos_cinereus ENSPCIG00000032522
mus_spretus MGP_SPRETEiJ_G0022410
mus_musculus ENSMUSG00000024387
mus_caroli MGP_CAROLIEiJ_G0021505
cricetulus_griseus ENSCGRG00001003014
ictidomys_tridecemlineatus ENSSTOG00000012999
cavia_porcellus ENSCPOG00000010792
cebus_capucinus ENSCCAG00000017374
vombatus_ursinus ENSVURG00010002425
lonchura_striata ENSLSDG00000002587
paramormyrops_kingsleyae ENSPKIG00000011726
paramormyrops_kingsleyae ENSPKIG00000012963
scleropages_formosus ENSSFOG00015016772
