pundamilia_nyererei ENSPNYG00000003535
astatotilapia_calliptera ENSACLG00000021902
amphiprion_percula ENSAPEG00000009794
amphiprion_ocellaris ENSAOCG00000014056
stegastes_partitus ENSSPAG00000022161
maylandia_zebra ENSMZEG00005026684
astatotilapia_calliptera ENSACLG00000004430
oreochromis_niloticus ENSONIG00000021126
fundulus_heteroclitus ENSFHEG00000017352
fundulus_heteroclitus ENSFHEG00000007015
xiphophorus_couchianus ENSXCOG00000011706
xiphophorus_couchianus ENSXCOG00000010676
xiphophorus_maculatus ENSXMAG00000021274
xiphophorus_couchianus ENSXCOG00000018646
amphiprion_percula ENSAPEG00000017475
anabas_testudineus ENSATEG00000023118
pygocentrus_nattereri ENSPNAG00000013133
