tupaia_belangeri ENSTBEG00000015755
erinaceus_europaeus ENSEEUG00000007656
loxodonta_africana ENSLAFG00000010434
procavia_capensis ENSPCAG00000001391
choloepus_hoffmanni ENSCHOG00000006778
dasypus_novemcinctus ENSDNOG00000048157
echinops_telfairi ENSETEG00000019178
rhinopithecus_roxellana ENSRROG00000026044
rhinopithecus_bieti ENSRBIG00000030164
piliocolobus_tephrosceles ENSPTEG00000000856
piliocolobus_tephrosceles ENSPTEG00000000882
piliocolobus_tephrosceles ENSPTEG00000000965
piliocolobus_tephrosceles ENSPTEG00000000929
colobus_angolensis_palliatus ENSCANG00000032163
mandrillus_leucophaeus ENSMLEG00000030932
chlorocebus_sabaeus ENSCSAG00000007535
papio_anubis ENSPANG00000025187
cercocebus_atys ENSCATG00000040146
macaca_nemestrina ENSMNEG00000034369
macaca_mulatta ENSMMUG00000008681
macaca_fascicularis ENSMFAG00000017762
theropithecus_gelada ENSTGEG00000017590
pan_troglodytes ENSPTRG00000017737
pan_troglodytes ENSPTRG00000049899
pan_paniscus ENSPPAG00000028545
homo_sapiens ENSG00000225921
gorilla_gorilla ENSGGOG00000007677
pongo_abelii ENSPPYG00000016243
nomascus_leucogenys ENSNLEG00000000883
cebus_capucinus ENSCCAG00000029996
saimiri_boliviensis_boliviensis ENSSBOG00000020450
callithrix_jacchus ENSCJAG00000019798
aotus_nancymaae ENSANAG00000035792
carlito_syrichta ENSTSYG00000008153
propithecus_coquereli ENSPCOG00000019187
microcebus_murinus ENSMICG00000044935
prolemur_simus ENSPSMG00000021646
otolemur_garnettii ENSOGAG00000013445
castor_canadensis ENSCCNG00000009008
dipodomys_ordii ENSDORG00000005279
mus_musculus ENSMUSG00000063200
mus_spicilegus ENSMSIG00000004365
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019348
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018469
mus_pahari MGP_PahariEiJ_G0019537
rattus_norvegicus ENSRNOG00000017904
meriones_unguiculatus ENSMUGG00000020055
peromyscus_maniculatus_bairdii ENSPEMG00000013753
microtus_ochrogaster ENSMOCG00000015174
cricetulus_griseus_crigri ENSCGRG00000003296
cricetulus_griseus_chok1gshd ENSCGRG00001013208
