colobus_angolensis_palliatus ENSCANG00000037643
piliocolobus_tephrosceles ENSPTEG00000001263
rhinopithecus_roxellana ENSRROG00000037925
rhinopithecus_bieti ENSRBIG00000034223
papio_anubis ENSPANG00000012786
theropithecus_gelada ENSTGEG00000007222
mandrillus_leucophaeus ENSMLEG00000029370
cercocebus_atys ENSCATG00000026502
macaca_mulatta ENSMMUG00000017439
macaca_fascicularis ENSMFAG00000031427
macaca_nemestrina ENSMNEG00000029071
papio_anubis ENSPANG00000025747
papio_anubis ENSPANG00000026481
papio_anubis ENSPANG00000001033
cercocebus_atys ENSCATG00000033432
macaca_nemestrina ENSMNEG00000004185
chlorocebus_sabaeus ENSCSAG00000007193
pan_troglodytes ENSPTRG00000022358
pan_troglodytes ENSPTRG00000047960
pan_paniscus ENSPPAG00000029720
homo_sapiens ENSG00000185247
gorilla_gorilla ENSGGOG00000027734
pongo_abelii ENSPPYG00000020810
nomascus_leucogenys ENSNLEG00000013500
saimiri_boliviensis_boliviensis ENSSBOG00000018895
chlorocebus_sabaeus ENSCSAG00000006992
carlito_syrichta ENSTSYG00000032601
