PELODISCUSSINENSIS	pelodiscus_sinensis
SPHENODONPUNCTATUS	sphenodon_punctatus
VOMBATUSURSINUS	vombatus_ursinus
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
NOTAMACROPUSEUGENII	notamacropus_eugenii
SARCOPHILUSHARRISII	sarcophilus_harrisii
MONODELPHISDOMESTICA	monodelphis_domestica
VICUGNAPACOS	vicugna_pacos
CASTORCANADENSIS	castor_canadensis
POGONAVITTICEPS	pogona_vitticeps
NOTECHISSCUTATUS	notechis_scutatus
GALLUSGALLUS	gallus_gallus
COTURNIXJAPONICA	coturnix_japonica
NUMIDAMELEAGRIS	numida_meleagris
ANASPLATYRHYNCHOS	anas_platyrhynchos
CALIDRISPYGMAEA	calidris_pygmaea
PARUSMAJOR	parus_major
JUNCOHYEMALIS	junco_hyemalis
LEPIDOTHRIXCORONATA	lepidothrix_coronata
APTERYXROWI	apteryx_rowi
CALIDRISPUGNAX	calidris_pugnax
MANACUSVITELLINUS	manacus_vitellinus
DROMAIUSNOVAEHOLLANDIAE	dromaius_novaehollandiae
ANSERBRACHYRHYNCHUS	anser_brachyrhynchus
MELEAGRISGALLOPAVO	meleagris_gallopavo
ZONOTRICHIAALBICOLLIS	zonotrichia_albicollis
CYANISTESCAERULEUS	cyanistes_caeruleus
SERINUSCANARIA	serinus_canaria
APTERYXHAASTII	apteryx_haastii
APTERYXOWENII	apteryx_owenii
CROCODYLUSPOROSUS	crocodylus_porosus
SALVATORMERIANAE	salvator_merianae
CHRYSEMYSPICTA	chrysemys_picta
CHOLOEPUSHOFFMANNI	choloepus_hoffmanni
ECHINOPSTELFAIRI	echinops_telfairi
SOREXARANEUS	sorex_araneus
ERINACEUSEUROPAEUS	erinaceus_europaeus
MUSTELAPUTORIUS	mustela_putorius
CANISLUPUS	canis_lupus
URSUSAMERICANUS	ursus_americanus
URSUSMARITIMUS	ursus_maritimus
PTEROPUSVAMPYRUS	pteropus_vampyrus
CRICETULUSGRISEUS	cricetulus_griseus
