ESOXLUCIUS	esox_lucius
DENTICEPSCLUPEOIDES	denticeps_clupeoides
LABRUSBERGYLTA	labrus_bergylta
TAKIFUGURUBRIPES	takifugu_rubripes
PERIOPHTHALMUSMAGNUSPINNATUS	periophthalmus_magnuspinnatus
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
POECILIAMEXICANA	poecilia_mexicana
FUNDULUSHETEROCLITUS	fundulus_heteroclitus
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
GOUANIAWILLDENOWI	gouania_willdenowi
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
SCOPHTHALMUSMAXIMUS	scophthalmus_maximus
POECILIARETICULATA	poecilia_reticulata
POECILIALATIPINNA	poecilia_latipinna
CYPRINODONVARIEGATUS	cyprinodon_variegatus
SERIOLALALANDI	seriola_lalandi
SERIOLADUMERILI	seriola_dumerili
PARAMBASSISRANGA	parambassis_ranga
BETTASPLENDENS	betta_splendens
MASTACEMBELUSARMATUS	mastacembelus_armatus
COTTOPERCAGOBIO	cottoperca_gobio
MAYLANDIAZEBRA	maylandia_zebra
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
PUNDAMILIANYEREREI	pundamilia_nyererei
HAPLOCHROMISBURTONI	haplochromis_burtoni
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
AMPHIPRIONPERCULA	amphiprion_percula
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
STEGASTESPARTITUS	stegastes_partitus
LATESCALCARIFER	lates_calcarifer
HIPPOCAMPUSCOMES	hippocampus_comes
ORYZIASMELASTIGMA	oryzias_melastigma
ELECTROPHORUSELECTRICUS	electrophorus_electricus
SCLEROPAGESFORMOSUS	scleropages_formosus
MELOPSITTACUSUNDULATUS	melopsittacus_undulatus
XENOPUSTROPICALIS	xenopus_tropicalis
