THEROPITHECUSGELADA	theropithecus_gelada
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
PROLEMURSIMUS	prolemur_simus
CRICETULUSGRISEUSCRIGRIPICR	cricetulus_griseus_crigri-picr
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
PEROMYSCUSMANICULATUSBAIRDII	peromyscus_maniculatus_bairdii
MUSSPICILEGUS	mus_spicilegus
MUSSPRETUSSTRAINSPRETEIJ	mus_spretus_strain_spret/eij
MUSMUSCULUS	mus_musculus
MUSCAROLISTRAINCAROLIEIJ	mus_caroli_strain_caroli_eij
MUSPAHARI	mus_pahari
RATTUSNORVEGICUS	rattus_norvegicus
MERIONESUNGUICULATUS	meriones_unguiculatus
NANNOSPALAXGALILI	nannospalax_galili
JACULUSJACULUS	jaculus_jaculus
CASTORCANADENSIS	castor_canadensis
SPERMOPHILUSDAURICUS	spermophilus_dauricus
UROCITELLUSPARRYII	urocitellus_parryii
SPERMOPHILUSDAURICUS	spermophilus_dauricus
ICTIDOMYSTRIDECEMLINEATUS	ictidomys_tridecemlineatus
CAVIAAPEREA	cavia_aperea
CAVIAPORCELLUS	cavia_porcellus
CHINCHILLALANIGERA	chinchilla_lanigera
ORYCTOLAGUSCUNICULUS	oryctolagus_cuniculus
BOSTAURUS	bos_taurus
BOSMUTUS	bos_mutus
BISONBISONBISON	bison_bison_bison
BISONBISONBISON	bison_bison_bison
BOSTAURUS	bos_taurus
BOSMUTUS	bos_mutus
BOSMUTUS	bos_mutus
BOSTAURUS	bos_taurus
OVISARIES	ovis_aries
CAPRAHIRCUS	capra_hircus
BOSMUTUS	bos_mutus
BISONBISONBISON	bison_bison_bison
SUSSCROFA	sus_scrofa
MYOTISLUCIFUGUS	myotis_lucifugus
URSUSMARITIMUS	ursus_maritimus
URSUSAMERICANUS	ursus_americanus
AILUROPODAMELANOLEUCA	ailuropoda_melanoleuca
MUSTELAPUTORIUSFURO	mustela_putorius_furo
FELISCATUS	felis_catus
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
LOXODONTAAFRICANA	loxodonta_africana
