MACACAFASCICULARIS	macaca_fascicularis
MACACANEMESTRINA	macaca_nemestrina
CERCOCEBUSATYS	cercocebus_atys
CALLITHRIXJACCHUS	callithrix_jacchus
PAPIOANUBIS	papio_anubis
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
AOTUSNANCYMAAE	aotus_nancymaae
CARLITOSYRICHTA	carlito_syrichta
PROPITHECUSCOQUERELI	propithecus_coquereli
MICROCEBUSMURINUS	microcebus_murinus
PANTHERATIGRISALTAICA	panthera_tigris_altaica
PANTHERAPARDUS	panthera_pardus
CAPRAHIRCUS	capra_hircus
