SERIOLALALANDIDORSALIS	seriola_lalandi_dorsalis
MOLAMOLA	mola_mola
MASTACEMBELUSARMATUS	mastacembelus_armatus
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
STEGASTESPARTITUS	stegastes_partitus
POECILIALATIPINNA	poecilia_latipinna
POECILIARETICULATA	poecilia_reticulata
GAMBUSIAAFFINIS	gambusia_affinis
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
FUNDULUSHETEROCLITUS	fundulus_heteroclitus
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
HAPLOCHROMISBURTONI	haplochromis_burtoni
PUNDAMILIANYEREREI	pundamilia_nyererei
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
