PTEROPUSVAMPYRUS	pteropus_vampyrus
MYOTISLUCIFUGUS	myotis_lucifugus
ERINACEUSEUROPAEUS	erinaceus_europaeus
BOSTAURUS	bos_taurus
BOSMUTUS	bos_mutus
BISONBISONBISON	bison_bison_bison
OVISARIES	ovis_aries
CAPRAHIRCUS	capra_hircus
TURSIOPSTRUNCATUS	tursiops_truncatus
EQUUSASINUSASINUS	equus_asinus_asinus
EQUUSCABALLUS	equus_caballus
URSUSAMERICANUS	ursus_americanus
URSUSMARITIMUS	ursus_maritimus
AILUROPODAMELANOLEUCA	ailuropoda_melanoleuca
MUSTELAPUTORIUSFURO	mustela_putorius_furo
NEOVISONVISON	neovison_vison
CANISLUPUSFAMILIARIS	canis_lupus_familiaris
CANISLUPUSDINGO	canis_lupus_dingo
VULPESVULPES	vulpes_vulpes
PANTHERAPARDUS	panthera_pardus
PANTHERATIGRISALTAICA	panthera_tigris_altaica
PROLEMURSIMUS	prolemur_simus
OTOLEMURGARNETTII	otolemur_garnettii
PANPANISCUS	pan_paniscus
PANTROGLODYTES	pan_troglodytes
GORILLAGORILLA	gorilla_gorilla
HOMOSAPIENS	homo_sapiens
PONGOABELII	pongo_abelii
NOMASCUSLEUCOGENYS	nomascus_leucogenys
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
RHINOPITHECUSBIETI	rhinopithecus_bieti
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
MACACAFASCICULARIS	macaca_fascicularis
MACACANEMESTRINA	macaca_nemestrina
MACACAMULATTA	macaca_mulatta
PAPIOANUBIS	papio_anubis
THEROPITHECUSGELADA	theropithecus_gelada
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
CERCOCEBUSATYS	cercocebus_atys
CHLOROCEBUSSABAEUS	chlorocebus_sabaeus
CEBUSCAPUCINUS	cebus_capucinus
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
AOTUSNANCYMAAE	aotus_nancymaae
CHINCHILLALANIGERA	chinchilla_lanigera
CHINCHILLALANIGERA	chinchilla_lanigera
OCTODONDEGUS	octodon_degus
CAVIAPORCELLUS	cavia_porcellus
HETEROCEPHALUSGLABERMALE	heterocephalus_glaber_male
HETEROCEPHALUSGLABERFEMALE	heterocephalus_glaber_female
FUKOMYSDAMARENSIS	fukomys_damarensis
ICTIDOMYSTRIDECEMLINEATUS	ictidomys_tridecemlineatus
UROCITELLUSPARRYII	urocitellus_parryii
SPERMOPHILUSDAURICUS	spermophilus_dauricus
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
PEROMYSCUSMANICULATUSBAIRDII	peromyscus_maniculatus_bairdii
MICROTUSOCHROGASTER	microtus_ochrogaster
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
CRICETULUSGRISEUSCRIGRIPICR	cricetulus_griseus_crigri-picr
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
MESOCRICETUSAURATUS	mesocricetus_auratus
MUSSPICILEGUS	mus_spicilegus
MUSMUSCULUS	mus_musculus
MUSSPRETUSSTRAINSPRETEIJ	mus_spretus_strain_spret/eij
MUSCAROLISTRAINCAROLIEIJ	mus_caroli_strain_caroli_eij
MUSPAHARI	mus_pahari
RATTUSNORVEGICUS	rattus_norvegicus
MERIONESUNGUICULATUS	meriones_unguiculatus
NANNOSPALAXGALILI	nannospalax_galili
JACULUSJACULUS	jaculus_jaculus
DIPODOMYSORDII	dipodomys_ordii
OCHOTONAPRINCEPS	ochotona_princeps
LOXODONTAAFRICANA	loxodonta_africana
PROCAVIACAPENSIS	procavia_capensis
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
CHOLOEPUSHOFFMANNI	choloepus_hoffmanni
