POECILIALATIPINNA	poecilia_latipinna
POECILIAFORMOSA	poecilia_formosa
POECILIARETICULATA	poecilia_reticulata
GAMBUSIAAFFINIS	gambusia_affinis
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
OREOCHROMISNILOTICUS	oreochromis_niloticus
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
SERIOLADUMERILI	seriola_dumerili
PERIOPHTHALMUSMAGNUSPINNATUS	periophthalmus_magnuspinnatus
GADUSMORHUA	gadus_morhua
ORYZIASMELASTIGMA	oryzias_melastigma
POECILIAFORMOSA	poecilia_formosa
FUNDULUSHETEROCLITUS	fundulus_heteroclitus
ORYZIASLATIPESASM223469V1	oryzias_latipes_asm223469v1
ORYZIASLATIPES	oryzias_latipes
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
MASTACEMBELUSARMATUS	mastacembelus_armatus
TAKIFUGURUBRIPES	takifugu_rubripes
SCOPHTHALMUSMAXIMUS	scophthalmus_maximus
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
SERIOLADUMERILI	seriola_dumerili
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
GAMBUSIAAFFINIS	gambusia_affinis
ORYZIASLATIPES	oryzias_latipes
ESOXLUCIUS	esox_lucius
PYGOCENTRUSNATTERERI	pygocentrus_nattereri
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
AILUROPODAMELANOLEUCA	ailuropoda_melanoleuca
URSUSMARITIMUS	ursus_maritimus
MUSTELAPUTORIUSFURO	mustela_putorius_furo
NEOVISONVISON	neovison_vison
CANISLUPUSFAMILIARIS	canis_lupus_familiaris
CANISLUPUSDINGO	canis_lupus_dingo
VULPESVULPES	vulpes_vulpes
FELISCATUS	felis_catus
PANTHERAPARDUS	panthera_pardus
MYOTISLUCIFUGUS	myotis_lucifugus
EQUUSCABALLUS	equus_caballus
EQUUSASINUSASINUS	equus_asinus_asinus
CAPRAHIRCUS	capra_hircus
OVISARIES	ovis_aries
CAPRAHIRCUS	capra_hircus
OVISARIES	ovis_aries
BOSTAURUS	bos_taurus
BOSMUTUS	bos_mutus
BOSMUTUS	bos_mutus
BOSTAURUS	bos_taurus
BISONBISONBISON	bison_bison_bison
BOSTAURUS	bos_taurus
BOSMUTUS	bos_mutus
BOSMUTUS	bos_mutus
OVISARIES	ovis_aries
CAPRAHIRCUS	capra_hircus
CAPRAHIRCUS	capra_hircus
OVISARIES	ovis_aries
CAPRAHIRCUS	capra_hircus
BOSTAURUS	bos_taurus
BOSMUTUS	bos_mutus
BOSTAURUS	bos_taurus
OVISARIES	ovis_aries
CAPRAHIRCUS	capra_hircus
OVISARIES	ovis_aries
CAPRAHIRCUS	capra_hircus
OVISARIES	ovis_aries
OVISARIES	ovis_aries
OVISARIES	ovis_aries
OVISARIES	ovis_aries
OVISARIES	ovis_aries
BOSTAURUS	bos_taurus
BISONBISONBISON	bison_bison_bison
BOSTAURUS	bos_taurus
BISONBISONBISON	bison_bison_bison
CAPRAHIRCUS	capra_hircus
CAPRAHIRCUS	capra_hircus
CAPRAHIRCUS	capra_hircus
CAPRAHIRCUS	capra_hircus
CAPRAHIRCUS	capra_hircus
CAPRAHIRCUS	capra_hircus
CAPRAHIRCUS	capra_hircus
CAPRAHIRCUS	capra_hircus
BOSTAURUS	bos_taurus
BISONBISONBISON	bison_bison_bison
BOSTAURUS	bos_taurus
CAPRAHIRCUS	capra_hircus
OVISARIES	ovis_aries
CAPRAHIRCUS	capra_hircus
BISONBISONBISON	bison_bison_bison
BOSMUTUS	bos_mutus
CAPRAHIRCUS	capra_hircus
BOSTAURUS	bos_taurus
OVISARIES	ovis_aries
OVISARIES	ovis_aries
BOSTAURUS	bos_taurus
OVISARIES	ovis_aries
OVISARIES	ovis_aries
OVISARIES	ovis_aries
OVISARIES	ovis_aries
OVISARIES	ovis_aries
OTOLEMURGARNETTII	otolemur_garnettii
SUSSCROFA	sus_scrofa
SUSSCROFA	sus_scrofa
SUSSCROFA	sus_scrofa
SUSSCROFA	sus_scrofa
SUSSCROFA	sus_scrofa
SUSSCROFA	sus_scrofa
SUSSCROFA	sus_scrofa
SUSSCROFA	sus_scrofa
UROCITELLUSPARRYII	urocitellus_parryii
UROCITELLUSPARRYII	urocitellus_parryii
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
OVISARIES	ovis_aries
CASTORCANADENSIS	castor_canadensis
FUKOMYSDAMARENSIS	fukomys_damarensis
UROCITELLUSPARRYII	urocitellus_parryii
SPERMOPHILUSDAURICUS	spermophilus_dauricus
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
UROCITELLUSPARRYII	urocitellus_parryii
UROCITELLUSPARRYII	urocitellus_parryii
UROCITELLUSPARRYII	urocitellus_parryii
SPERMOPHILUSDAURICUS	spermophilus_dauricus
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
SPERMOPHILUSDAURICUS	spermophilus_dauricus
UROCITELLUSPARRYII	urocitellus_parryii
SPERMOPHILUSDAURICUS	spermophilus_dauricus
SPERMOPHILUSDAURICUS	spermophilus_dauricus
UROCITELLUSPARRYII	urocitellus_parryii
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
ORYCTOLAGUSCUNICULUS	oryctolagus_cuniculus
PROLEMURSIMUS	prolemur_simus
OTOLEMURGARNETTII	otolemur_garnettii
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
LOXODONTAAFRICANA	loxodonta_africana
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
SARCOPHILUSHARRISII	sarcophilus_harrisii
MONODELPHISDOMESTICA	monodelphis_domestica
CHELONOIDISABINGDONII	chelonoidis_abingdonii
OVISARIES	ovis_aries
OVISARIES	ovis_aries
OVISARIES	ovis_aries
OVISARIES	ovis_aries
BOSMUTUS	bos_mutus
URSUSAMERICANUS	ursus_americanus
LOXODONTAAFRICANA	loxodonta_africana
OVISARIES	ovis_aries
OVISARIES	ovis_aries
OVISARIES	ovis_aries
PETROMYZONMARINUS	petromyzon_marinus
