D2085.3.1WBGene00008428_CAENORHABDITISELEGANSSTRAINN2	D2085.3.1	WBGene00008428	CAENORHABDITISELEGANSSTRAINN2
ENSAOWT00000029657ENSAOWG00000017659_APTERYXOWENII	ENSAOWT00000029657	ENSAOWG00000017659	APTERYXOWENII
FBtr0070350FBgn0023512_DROSOPHILAMELANOGASTER	FBtr0070350	FBgn0023512	DROSOPHILAMELANOGASTER
FBtr0070351FBgn0023512_DROSOPHILAMELANOGASTER	FBtr0070351	FBgn0023512	DROSOPHILAMELANOGASTER
ENSARWT00000009008ENSARWG00000005180_APTERYXROWI	ENSARWT00000009008	ENSARWG00000005180	APTERYXROWI
ENSARWT00000009018ENSARWG00000005180_APTERYXROWI	ENSARWT00000009018	ENSARWG00000005180	APTERYXROWI
ENSAOWT00000029655ENSAOWG00000017659_APTERYXOWENII	ENSAOWT00000029655	ENSAOWG00000017659	APTERYXOWENII
ENSAOWT00000029662ENSAOWG00000017659_APTERYXOWENII	ENSAOWT00000029662	ENSAOWG00000017659	APTERYXOWENII
ENSAOWT00000029663ENSAOWG00000017659_APTERYXOWENII	ENSAOWT00000029663	ENSAOWG00000017659	APTERYXOWENII
ENSAOWT00000029659ENSAOWG00000017659_APTERYXOWENII	ENSAOWT00000029659	ENSAOWG00000017659	APTERYXOWENII
ENSARWT00000009040ENSARWG00000005180_APTERYXROWI	ENSARWT00000009040	ENSARWG00000005180	APTERYXROWI
