Y119D3B.17.1WBGene00003978_CAENORHABDITISELEGANSSTRAINN2	Y119D3B.17.1	WBGene00003978	CAENORHABDITISELEGANSSTRAINN2
FBtr0078468FBgn0262737_DROSOPHILAMELANOGASTER	FBtr0078468	FBgn0262737	DROSOPHILAMELANOGASTER
FBtr0304981FBgn0262737_DROSOPHILAMELANOGASTER	FBtr0304981	FBgn0262737	DROSOPHILAMELANOGASTER
FBtr0304980FBgn0262737_DROSOPHILAMELANOGASTER	FBtr0304980	FBgn0262737	DROSOPHILAMELANOGASTER
FBtr0304983FBgn0262737_DROSOPHILAMELANOGASTER	FBtr0304983	FBgn0262737	DROSOPHILAMELANOGASTER
FBtr0304982FBgn0262737_DROSOPHILAMELANOGASTER	FBtr0304982	FBgn0262737	DROSOPHILAMELANOGASTER
FBtr0304984FBgn0262737_DROSOPHILAMELANOGASTER	FBtr0304984	FBgn0262737	DROSOPHILAMELANOGASTER
FBtr0301364FBgn0262737_DROSOPHILAMELANOGASTER	FBtr0301364	FBgn0262737	DROSOPHILAMELANOGASTER
FBtr0078470FBgn0262737_DROSOPHILAMELANOGASTER	FBtr0078470	FBgn0262737	DROSOPHILAMELANOGASTER
FBtr0332736FBgn0262737_DROSOPHILAMELANOGASTER	FBtr0332736	FBgn0262737	DROSOPHILAMELANOGASTER
FBtr0333222FBgn0262737_DROSOPHILAMELANOGASTER	FBtr0333222	FBgn0262737	DROSOPHILAMELANOGASTER
ENSCSAVT00000004823ENSCSAVG00000002835_CIONASAVIGNYI	ENSCSAVT00000004823	ENSCSAVG00000002835	CIONASAVIGNYI
FBtr0111017FBgn0262737_DROSOPHILAMELANOGASTER	FBtr0111017	FBgn0262737	DROSOPHILAMELANOGASTER
ENSCSAVT00000007307ENSCSAVG00000004313_CIONASAVIGNYI	ENSCSAVT00000007307	ENSCSAVG00000004313	CIONASAVIGNYI
FBtr0346820FBgn0262737_DROSOPHILAMELANOGASTER	FBtr0346820	FBgn0262737	DROSOPHILAMELANOGASTER
ENSCINT00000001984ENSCING00000001056_CIONAINTESTINALIS	ENSCINT00000001984	ENSCING00000001056	CIONAINTESTINALIS
