ENSACAT00000016520ENSACAG00000016429_ANOLISCAROLINENSIS	ENSACAT00000016520	ENSACAG00000016429	ANOLISCAROLINENSIS
FBtr0112817FBgn0003041_DROSOPHILAMELANOGASTER	FBtr0112817	FBgn0003041	DROSOPHILAMELANOGASTER
T19E10.1a.1WBGene00002297_CAENORHABDITISELEGANSSTRAINN2	T19E10.1a.1	WBGene00002297	CAENORHABDITISELEGANSSTRAINN2
T19E10.1a.2WBGene00002297_CAENORHABDITISELEGANSSTRAINN2	T19E10.1a.2	WBGene00002297	CAENORHABDITISELEGANSSTRAINN2
FBtr0076772FBgn0003041_DROSOPHILAMELANOGASTER	FBtr0076772	FBgn0003041	DROSOPHILAMELANOGASTER
FBtr0076771FBgn0003041_DROSOPHILAMELANOGASTER	FBtr0076771	FBgn0003041	DROSOPHILAMELANOGASTER
ENSPVIT00000032372ENSPVIG00000019616_POGONAVITTICEPS	ENSPVIT00000032372	ENSPVIG00000019616	POGONAVITTICEPS
FBtr0306647FBgn0003041_DROSOPHILAMELANOGASTER	FBtr0306647	FBgn0003041	DROSOPHILAMELANOGASTER
T19E10.1b.2WBGene00002297_CAENORHABDITISELEGANSSTRAINN2	T19E10.1b.2	WBGene00002297	CAENORHABDITISELEGANSSTRAINN2
FBtr0076773FBgn0003041_DROSOPHILAMELANOGASTER	FBtr0076773	FBgn0003041	DROSOPHILAMELANOGASTER
T19E10.1b.1WBGene00002297_CAENORHABDITISELEGANSSTRAINN2	T19E10.1b.1	WBGene00002297	CAENORHABDITISELEGANSSTRAINN2
FBtr0076774FBgn0003041_DROSOPHILAMELANOGASTER	FBtr0076774	FBgn0003041	DROSOPHILAMELANOGASTER
