APTERYXOWENII	apteryx_owenii
SPHENODONPUNCTATUS	sphenodon_punctatus
SOREXARANEUS	sorex_araneus
ERINACEUSEUROPAEUS	erinaceus_europaeus
BISONBISONBISON	bison_bison_bison
BISONBISONBISON	bison_bison_bison
URSUSAMERICANUS	ursus_americanus
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
OTOLEMURGARNETTII	otolemur_garnettii
TUPAIABELANGERI	tupaia_belangeri
DIPODOMYSORDII	dipodomys_ordii
CASTORCANADENSIS	castor_canadensis
MESOCRICETUSAURATUS	mesocricetus_auratus
OCHOTONAPRINCEPS	ochotona_princeps
CHOLOEPUSHOFFMANNI	choloepus_hoffmanni
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
CASTORCANADENSIS	castor_canadensis
NOTECHISSCUTATUS	notechis_scutatus
CHELONOIDISABINGDONII	chelonoidis_abingdonii
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
HIPPOCAMPUSCOMES	hippocampus_comes
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
AMPHIPRIONOCELLARIS	amphiprion_ocellaris
POECILIARETICULATA	poecilia_reticulata
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
GADUSMORHUA	gadus_morhua
ESOXLUCIUS	esox_lucius
PYGOCENTRUSNATTERERI	pygocentrus_nattereri
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
