ENSCSAVT00000006146ENSCSAVG00000003626_CIONASAVIGNYI	ENSCSAVT00000006146	ENSCSAVG00000003626	CIONASAVIGNYI
FBtr0112898FBgn0020762_DROSOPHILAMELANOGASTER	FBtr0112898	FBgn0020762	DROSOPHILAMELANOGASTER
FBtr0112899FBgn0020762_DROSOPHILAMELANOGASTER	FBtr0112899	FBgn0020762	DROSOPHILAMELANOGASTER
FBtr0077604FBgn0031516_DROSOPHILAMELANOGASTER	FBtr0077604	FBgn0031516	DROSOPHILAMELANOGASTER
FBtr0078158FBgn0031220_DROSOPHILAMELANOGASTER	FBtr0078158	FBgn0031220	DROSOPHILAMELANOGASTER
FBtr0078159FBgn0031220_DROSOPHILAMELANOGASTER	FBtr0078159	FBgn0031220	DROSOPHILAMELANOGASTER
FBtr0100310FBgn0031220_DROSOPHILAMELANOGASTER	FBtr0100310	FBgn0031220	DROSOPHILAMELANOGASTER
FBtr0100309FBgn0031220_DROSOPHILAMELANOGASTER	FBtr0100309	FBgn0031220	DROSOPHILAMELANOGASTER
FBtr0100308FBgn0031220_DROSOPHILAMELANOGASTER	FBtr0100308	FBgn0031220	DROSOPHILAMELANOGASTER
FBtr0077427FBgn0020762_DROSOPHILAMELANOGASTER	FBtr0077427	FBgn0020762	DROSOPHILAMELANOGASTER
FBtr0077426FBgn0020762_DROSOPHILAMELANOGASTER	FBtr0077426	FBgn0020762	DROSOPHILAMELANOGASTER
FBtr0100307FBgn0031220_DROSOPHILAMELANOGASTER	FBtr0100307	FBgn0031220	DROSOPHILAMELANOGASTER
FBtr0330646FBgn0031220_DROSOPHILAMELANOGASTER	FBtr0330646	FBgn0031220	DROSOPHILAMELANOGASTER
FBtr0078156FBgn0031220_DROSOPHILAMELANOGASTER	FBtr0078156	FBgn0031220	DROSOPHILAMELANOGASTER
FBtr0078157FBgn0031220_DROSOPHILAMELANOGASTER	FBtr0078157	FBgn0031220	DROSOPHILAMELANOGASTER
