ENSBSLT00000051508ENSBSLG00000022328_BETTASPLENDENS	ENSBSLT00000051508	ENSBSLG00000022328	BETTASPLENDENS
ENSCVAT00000007527ENSCVAG00000006242_CYPRINODONVARIEGATUS	ENSCVAT00000007527	ENSCVAG00000006242	CYPRINODONVARIEGATUS
ENSCSET00000009235ENSCSEG00000005853_CYNOGLOSSUSSEMILAEVIS	ENSCSET00000009235	ENSCSEG00000005853	CYNOGLOSSUSSEMILAEVIS
ENSPLAT00000028674ENSPLAG00000023878_POECILIALATIPINNA	ENSPLAT00000028674	ENSPLAG00000023878	POECILIALATIPINNA
ENSXCOT00000002065ENSXCOG00000001640_XIPHOPHORUSCOUCHIANUS	ENSXCOT00000002065	ENSXCOG00000001640	XIPHOPHORUSCOUCHIANUS
ENSFHET00000013380ENSFHEG00000002495_FUNDULUSHETEROCLITUS	ENSFHET00000013380	ENSFHEG00000002495	FUNDULUSHETEROCLITUS
ENSGWIT00000013070ENSGWIG00000006873_GOUANIAWILLDENOWI	ENSGWIT00000013070	ENSGWIG00000006873	GOUANIAWILLDENOWI
ENSPLAT00000032149ENSPLAG00000023878_POECILIALATIPINNA	ENSPLAT00000032149	ENSPLAG00000023878	POECILIALATIPINNA
ENSPRET00000023153ENSPREG00000015469_POECILIARETICULATA	ENSPRET00000023153	ENSPREG00000015469	POECILIARETICULATA
ENSFHET00000013401ENSFHEG00000002495_FUNDULUSHETEROCLITUS	ENSFHET00000013401	ENSFHEG00000002495	FUNDULUSHETEROCLITUS
ENSGWIT00000013068ENSGWIG00000006873_GOUANIAWILLDENOWI	ENSGWIT00000013068	ENSGWIG00000006873	GOUANIAWILLDENOWI
ENSGWIT00000013071ENSGWIG00000006873_GOUANIAWILLDENOWI	ENSGWIT00000013071	ENSGWIG00000006873	GOUANIAWILLDENOWI
ENSXMAT00000037708ENSXMAG00000022972_XIPHOPHORUSMACULATUS	ENSXMAT00000037708	ENSXMAG00000022972	XIPHOPHORUSMACULATUS
ENSMALT00000017948ENSMALG00000012259_MONOPTERUSALBUS	ENSMALT00000017948	ENSMALG00000012259	MONOPTERUSALBUS
ENSORLT00000039387ENSORLG00000022969_ORYZIASLATIPES	ENSORLT00000039387	ENSORLG00000022969	ORYZIASLATIPES
ENSPFOT00000009724ENSPFOG00000009761_POECILIAFORMOSA	ENSPFOT00000009724	ENSPFOG00000009761	POECILIAFORMOSA
ENSGAFT00000025119ENSGAFG00000016779_GAMBUSIAAFFINIS	ENSGAFT00000025119	ENSGAFG00000016779	GAMBUSIAAFFINIS
ENSPFOT00000022436ENSPFOG00000009761_POECILIAFORMOSA	ENSPFOT00000022436	ENSPFOG00000009761	POECILIAFORMOSA
ENSXMAT00000021100ENSXMAG00000022972_XIPHOPHORUSMACULATUS	ENSXMAT00000021100	ENSXMAG00000022972	XIPHOPHORUSMACULATUS
ENSFHET00000013376ENSFHEG00000002495_FUNDULUSHETEROCLITUS	ENSFHET00000013376	ENSFHEG00000002495	FUNDULUSHETEROCLITUS
ENSFHET00000013390ENSFHEG00000002495_FUNDULUSHETEROCLITUS	ENSFHET00000013390	ENSFHEG00000002495	FUNDULUSHETEROCLITUS
ENSPMET00000012308ENSPMEG00000003637_POECILIAMEXICANA	ENSPMET00000012308	ENSPMEG00000003637	POECILIAMEXICANA
ENSKMAT00000005765ENSKMAG00000004296_KRYPTOLEBIASMARMORATUS	ENSKMAT00000005765	ENSKMAG00000004296	KRYPTOLEBIASMARMORATUS
ENSPRET00000023147ENSPREG00000015469_POECILIARETICULATA	ENSPRET00000023147	ENSPREG00000015469	POECILIARETICULATA
ENSKMAT00000005746ENSKMAG00000004296_KRYPTOLEBIASMARMORATUS	ENSKMAT00000005746	ENSKMAG00000004296	KRYPTOLEBIASMARMORATUS
ENSGAFT00000025121ENSGAFG00000016779_GAMBUSIAAFFINIS	ENSGAFT00000025121	ENSGAFG00000016779	GAMBUSIAAFFINIS
ENSMALT00000017935ENSMALG00000012259_MONOPTERUSALBUS	ENSMALT00000017935	ENSMALG00000012259	MONOPTERUSALBUS
ENSPMET00000012292ENSPMEG00000003637_POECILIAMEXICANA	ENSPMET00000012292	ENSPMEG00000003637	POECILIAMEXICANA
ENSMALT00000017917ENSMALG00000012259_MONOPTERUSALBUS	ENSMALT00000017917	ENSMALG00000012259	MONOPTERUSALBUS
ENSPMET00000012299ENSPMEG00000003637_POECILIAMEXICANA	ENSPMET00000012299	ENSPMEG00000003637	POECILIAMEXICANA
