APTERYXHAASTII	apteryx_haastii
APTERYXROWI	apteryx_rowi
APTERYXOWENII	apteryx_owenii
DROMAIUSNOVAEHOLLANDIAE	dromaius_novaehollandiae
ANSERBRACHYRHYNCHUS	anser_brachyrhynchus
COTURNIXJAPONICA	coturnix_japonica
CALIDRISPYGMAEA	calidris_pygmaea
CHELONOIDISABINGDONII	chelonoidis_abingdonii
CHRYSEMYSPICTA	chrysemys_picta
CROCODYLUSPOROSUS	crocodylus_porosus
SALVATORMERIANAE	salvator_merianae
LONCHURASTRIATA	lonchura_striata
SERINUSCANARIA	serinus_canaria
ZONOTRICHIAALBICOLLIS	zonotrichia_albicollis
JUNCOHYEMALIS	junco_hyemalis
CYANISTESCAERULEUS	cyanistes_caeruleus
PARUSMAJOR	parus_major
NOTHOPROCTAPERDICARIA	nothoprocta_perdicaria
MACACAMULATTA	macaca_mulatta
PAPIOANUBIS	papio_anubis
THEROPITHECUSGELADA	theropithecus_gelada
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
CALLITHRIXJACCHUS	callithrix_jacchus
PROLEMURSIMUS	prolemur_simus
MUSSPICILEGUS	mus_spicilegus
URSUSMARITIMUS	ursus_maritimus
URSUSAMERICANUS	ursus_americanus
CANISLUPUS	canis_lupus
CAPRAHIRCUS	capra_hircus
