MOLAMOLA	mola_mola
PERIOPHTHALMUSMAGNUSPINNATUS	periophthalmus_magnuspinnatus
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
STEGASTESPARTITUS	stegastes_partitus
AMPHIPRIONOCELLARIS	amphiprion_ocellaris
SERIOLADUMERILI	seriola_dumerili
SERIOLALALANDIDORSALIS	seriola_lalandi_dorsalis
SCOPHTHALMUSMAXIMUS	scophthalmus_maximus
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
POECILIARETICULATA	poecilia_reticulata
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
GASTEROSTEUSACULEATUS	gasterosteus_aculeatus
MONOPTERUSALBUS	monopterus_albus
GADUSMORHUA	gadus_morhua
PYGOCENTRUSNATTERERI	pygocentrus_nattereri
ASTYANAXMEXICANUS	astyanax_mexicanus
HIPPOCAMPUSCOMES	hippocampus_comes
LABRUSBERGYLTA	labrus_bergylta
ANABASTESTUDINEUS	anabas_testudineus
AMPHIPRIONPERCULA	amphiprion_percula
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
FUNDULUSHETEROCLITUS	fundulus_heteroclitus
MAYLANDIAZEBRA	maylandia_zebra
PUNDAMILIANYEREREI	pundamilia_nyererei
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
HAPLOCHROMISBURTONI	haplochromis_burtoni
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
POECILIALATIPINNA	poecilia_latipinna
POECILIAMEXICANA	poecilia_mexicana
POECILIAFORMOSA	poecilia_formosa
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
GAMBUSIAAFFINIS	gambusia_affinis
TAKIFUGURUBRIPES	takifugu_rubripes
MASTACEMBELUSARMATUS	mastacembelus_armatus
ESOXLUCIUS	esox_lucius
DANIORERIO	danio_rerio
SCLEROPAGESFORMOSUS	scleropages_formosus
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
CYPRINODONVARIEGATUS	cyprinodon_variegatus
XENOPUSTROPICALIS	xenopus_tropicalis
RATTUSNORVEGICUS	rattus_norvegicus
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPESASM223469V1	oryzias_latipes_asm223469v1
ORYZIASMELASTIGMA	oryzias_melastigma
ICTALURUSPUNCTATUS	ictalurus_punctatus
LATIMERIACHALUMNAE	latimeria_chalumnae
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
CEBUSCAPUCINUS	cebus_capucinus
PAPIOANUBIS	papio_anubis
PROLEMURSIMUS	prolemur_simus
PEROMYSCUSMANICULATUSBAIRDII	peromyscus_maniculatus_bairdii
MESOCRICETUSAURATUS	mesocricetus_auratus
MUSMUSCULUS	mus_musculus
MUSSPRETUSSTRAINSPRETEIJ	mus_spretus_strain_spret/eij
NANNOSPALAXGALILI	nannospalax_galili
FUKOMYSDAMARENSIS	fukomys_damarensis
HETEROCEPHALUSGLABERMALE	heterocephalus_glaber_male
CASTORCANADENSIS	castor_canadensis
MYOTISLUCIFUGUS	myotis_lucifugus
MUSCAROLISTRAINCAROLIEIJ	mus_caroli_strain_caroli_eij
MUSSPICILEGUS	mus_spicilegus
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
CAVIAPORCELLUS	cavia_porcellus
OCTODONDEGUS	octodon_degus
MACACAFASCICULARIS	macaca_fascicularis
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
GORILLAGORILLA	gorilla_gorilla
AOTUSNANCYMAAE	aotus_nancymaae
SUSSCROFA	sus_scrofa
ERINACEUSEUROPAEUS	erinaceus_europaeus
URSUSAMERICANUS	ursus_americanus
URSUSMARITIMUS	ursus_maritimus
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
MONODELPHISDOMESTICA	monodelphis_domestica
CROCODYLUSPOROSUS	crocodylus_porosus
MELEAGRISGALLOPAVO	meleagris_gallopavo
