POECILIARETICULATA	poecilia_reticulata
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
ORYZIASMELASTIGMA	oryzias_melastigma
DANIORERIO	danio_rerio
BISONBISON	bison_bison
SUSSCROFA	sus_scrofa
PANTHERATIGRIS	panthera_tigris
PANTHERAPARDUS	panthera_pardus
VULPESVULPES	vulpes_vulpes
MUSTELAPUTORIUS	mustela_putorius
MYOTISLUCIFUGUS	myotis_lucifugus
CRICETULUSGRISEUS	cricetulus_griseus
CRICETULUSGRISEUS	cricetulus_griseus
CRICETULUSGRISEUS	cricetulus_griseus
MESOCRICETUSAURATUS	mesocricetus_auratus
MICROTUSOCHROGASTER	microtus_ochrogaster
PEROMYSCUSMANICULATUS	peromyscus_maniculatus
MUSMUSCULUS	mus_musculus
MUSSPICILEGUS	mus_spicilegus
MUSCAROLI	mus_caroli
MUSPAHARI	mus_pahari
NANNOSPALAXGALILI	nannospalax_galili
DIPODOMYSORDII	dipodomys_ordii
MARMOTAMARMOTA	marmota_marmota
UROCITELLUSPARRYII	urocitellus_parryii
CASTORCANADENSIS	castor_canadensis
HETEROCEPHALUSGLABER	heterocephalus_glaber
HETEROCEPHALUSGLABER	heterocephalus_glaber
FUKOMYSDAMARENSIS	fukomys_damarensis
CAVIAPORCELLUS	cavia_porcellus
CAVIAAPEREA	cavia_aperea
CHINCHILLALANIGERA	chinchilla_lanigera
OCTODONDEGUS	octodon_degus
PANPANISCUS	pan_paniscus
GORILLAGORILLA	gorilla_gorilla
HOMOSAPIENS	homo_sapiens
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
COLOBUSANGOLENSIS	colobus_angolensis
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
COLOBUSANGOLENSIS	colobus_angolensis
MACACAFASCICULARIS	macaca_fascicularis
MACACANEMESTRINA	macaca_nemestrina
THEROPITHECUSGELADA	theropithecus_gelada
PAPIOANUBIS	papio_anubis
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
CERCOCEBUSATYS	cercocebus_atys
MACACAMULATTA	macaca_mulatta
CHLOROCEBUSSABAEUS	chlorocebus_sabaeus
CEBUSCAPUCINUS	cebus_capucinus
CALLITHRIXJACCHUS	callithrix_jacchus
SAIMIRIBOLIVIENSIS	saimiri_boliviensis
AOTUSNANCYMAAE	aotus_nancymaae
PROLEMURSIMUS	prolemur_simus
MICROCEBUSMURINUS	microcebus_murinus
VOMBATUSURSINUS	vombatus_ursinus
MONODELPHISDOMESTICA	monodelphis_domestica
MELEAGRISGALLOPAVO	meleagris_gallopavo
FICEDULAALBICOLLIS	ficedula_albicollis
CROCODYLUSPOROSUS	crocodylus_porosus
GOPHERUSAGASSIZII	gopherus_agassizii
