TETRAODONNIGROVIRIDIS	tetraodon_nigroviridis
MOLAMOLA	mola_mola
LABRUSBERGYLTA	labrus_bergylta
GASTEROSTEUSACULEATUS	gasterosteus_aculeatus
GASTEROSTEUSACULEATUS	gasterosteus_aculeatus
GASTEROSTEUSACULEATUS	gasterosteus_aculeatus
PERIOPHTHALMUSMAGNUSPINNATUS	periophthalmus_magnuspinnatus
SERIOLADUMERILI	seriola_dumerili
SERIOLALALANDIDORSALIS	seriola_lalandi_dorsalis
SCOPHTHALMUSMAXIMUS	scophthalmus_maximus
POECILIAFORMOSA	poecilia_formosa
CYPRINODONVARIEGATUS	cyprinodon_variegatus
ORYZIASLATIPES	oryzias_latipes
ORYZIASMELASTIGMA	oryzias_melastigma
MAYLANDIAZEBRA	maylandia_zebra
HAPLOCHROMISBURTONI	haplochromis_burtoni
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
PUNDAMILIANYEREREI	pundamilia_nyererei
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
OREOCHROMISNILOTICUS	oreochromis_niloticus
AMPHIPRIONPERCULA	amphiprion_percula
ANABASTESTUDINEUS	anabas_testudineus
MASTACEMBELUSARMATUS	mastacembelus_armatus
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
PYGOCENTRUSNATTERERI	pygocentrus_nattereri
POECILIAFORMOSA	poecilia_formosa
FUNDULUSHETEROCLITUS	fundulus_heteroclitus
FICEDULAALBICOLLIS	ficedula_albicollis
COTURNIXJAPONICA	coturnix_japonica
CALIDRISPUGNAX	calidris_pugnax
CROCODYLUSPOROSUS	crocodylus_porosus
APTERYXOWENII	apteryx_owenii
CHELONOIDISABINGDONII	chelonoidis_abingdonii
CHRYSEMYSPICTABELLII	chrysemys_picta_bellii
PELODISCUSSINENSIS	pelodiscus_sinensis
SPHENODONPUNCTATUS	sphenodon_punctatus
POGONAVITTICEPS	pogona_vitticeps
XENOPUSTROPICALIS	xenopus_tropicalis
DROSOPHILAMELANOGASTER	drosophila_melanogaster
SACCHAROMYCESCEREVISIAE	saccharomyces_cerevisiae
SACCHAROMYCESCEREVISIAE	saccharomyces_cerevisiae
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
SACCHAROMYCESCEREVISIAE	saccharomyces_cerevisiae
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
