ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
PUNDAMILIANYEREREI	pundamilia_nyererei
STEGASTESPARTITUS	stegastes_partitus
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
POECILIAFORMOSA	poecilia_formosa
POECILIARETICULATA	poecilia_reticulata
POECILIAMEXICANA	poecilia_mexicana
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
POECILIAMEXICANA	poecilia_mexicana
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
POECILIARETICULATA	poecilia_reticulata
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
POECILIAMEXICANA	poecilia_mexicana
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
POECILIAFORMOSA	poecilia_formosa
ASTYANAXMEXICANUS	astyanax_mexicanus
