PROLEMURSIMUS	prolemur_simus
THEROPITHECUSGELADA	theropithecus_gelada
MERIONESUNGUICULATUS	meriones_unguiculatus
MESOCRICETUSAURATUS	mesocricetus_auratus
MUSTELAPUTORIUSFURO	mustela_putorius_furo
NEOVISONVISON	neovison_vison
VULPESVULPES	vulpes_vulpes
CANISLUPUSDINGO	canis_lupus_dingo
NEOVISONVISON	neovison_vison
PANTHERAPARDUS	panthera_pardus
PANTHERATIGRISALTAICA	panthera_tigris_altaica
URSUSMARITIMUS	ursus_maritimus
URSUSAMERICANUS	ursus_americanus
PANTHERAPARDUS	panthera_pardus
FELISCATUS	felis_catus
AILUROPODAMELANOLEUCA	ailuropoda_melanoleuca
URSUSAMERICANUS	ursus_americanus
CANISLUPUSDINGO	canis_lupus_dingo
PANTHERATIGRISALTAICA	panthera_tigris_altaica
PAPIOANUBIS	papio_anubis
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
MACACANEMESTRINA	macaca_nemestrina
MACACANEMESTRINA	macaca_nemestrina
CHLOROCEBUSSABAEUS	chlorocebus_sabaeus
PONGOABELII	pongo_abelii
NOMASCUSLEUCOGENYS	nomascus_leucogenys
CALLITHRIXJACCHUS	callithrix_jacchus
FUKOMYSDAMARENSIS	fukomys_damarensis
HETEROCEPHALUSGLABERMALE	heterocephalus_glaber_male
OCTODONDEGUS	octodon_degus
EQUUSCABALLUS	equus_caballus
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
RHINOPITHECUSBIETI	rhinopithecus_bieti
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
CERCOCEBUSATYS	cercocebus_atys
PANTROGLODYTES	pan_troglodytes
CALLITHRIXJACCHUS	callithrix_jacchus
CARLITOSYRICHTA	carlito_syrichta
OTOLEMURGARNETTII	otolemur_garnettii
CAVIAPORCELLUS	cavia_porcellus
CANISLUPUSDINGO	canis_lupus_dingo
VULPESVULPES	vulpes_vulpes
MYOTISLUCIFUGUS	myotis_lucifugus
OVISARIES	ovis_aries
AOTUSNANCYMAAE	aotus_nancymaae
PROPITHECUSCOQUERELI	propithecus_coquereli
MESOCRICETUSAURATUS	mesocricetus_auratus
MESOCRICETUSAURATUS	mesocricetus_auratus
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
CRICETULUSGRISEUSCRIGRIPICR	cricetulus_griseus_crigri-picr
