SARCOPHILUSHARRISII	sarcophilus_harrisii
NOTAMACROPUSEUGENII	notamacropus_eugenii
AILUROPODAMELANOLEUCA	ailuropoda_melanoleuca
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
PONGOABELII	pongo_abelii
LOXODONTAAFRICANA	loxodonta_africana
SOREXARANEUS	sorex_araneus
ERINACEUSEUROPAEUS	erinaceus_europaeus
CANISLUPUSFAMILIARIS	canis_lupus_familiaris
OCHOTONAPRINCEPS	ochotona_princeps
EQUUSCABALLUS	equus_caballus
OVISARIES	ovis_aries
FELISCATUS	felis_catus
PANTHERAPARDUS	panthera_pardus
MUSTELAPUTORIUSFURO	mustela_putorius_furo
NEOVISONVISON	neovison_vison
PTEROPUSVAMPYRUS	pteropus_vampyrus
TURSIOPSTRUNCATUS	tursiops_truncatus
BOSTAURUS	bos_taurus
SUSSCROFA	sus_scrofa
MICROCEBUSMURINUS	microcebus_murinus
OTOLEMURGARNETTII	otolemur_garnettii
PANTROGLODYTES	pan_troglodytes
PANPANISCUS	pan_paniscus
HOMOSAPIENS	homo_sapiens
GORILLAGORILLA	gorilla_gorilla
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
RHINOPITHECUSBIETI	rhinopithecus_bieti
THEROPITHECUSGELADA	theropithecus_gelada
PAPIOANUBIS	papio_anubis
CERCOCEBUSATYS	cercocebus_atys
MACACAFASCICULARIS	macaca_fascicularis
MACACANEMESTRINA	macaca_nemestrina
CEBUSCAPUCINUS	cebus_capucinus
CALLITHRIXJACCHUS	callithrix_jacchus
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
HETEROCEPHALUSGLABERFEMALE	heterocephalus_glaber_female
CAVIAPORCELLUS	cavia_porcellus
ICTIDOMYSTRIDECEMLINEATUS	ictidomys_tridecemlineatus
PROCAVIACAPENSIS	procavia_capensis
VICUGNAPACOS	vicugna_pacos
DIPODOMYSORDII	dipodomys_ordii
JACULUSJACULUS	jaculus_jaculus
