ENSCHIT00000032665ENSCHIG00000021825_CAPRAHIRCUS	ENSCHIT00000032665	ENSCHIG00000021825	CAPRAHIRCUS
ENSPCIT00000066366ENSPCIG00000006629_PHASCOLARCTOSCINEREUS	ENSPCIT00000066366	ENSPCIG00000006629	PHASCOLARCTOSCINEREUS
ENSSHAT00000011501ENSSHAG00000009806_SARCOPHILUSHARRISII	ENSSHAT00000011501	ENSSHAG00000009806	SARCOPHILUSHARRISII
ENSPCIT00000010032ENSPCIG00000006629_PHASCOLARCTOSCINEREUS	ENSPCIT00000010032	ENSPCIG00000006629	PHASCOLARCTOSCINEREUS
ENSOART00000016632ENSOARG00000015281_OVISARIES	ENSOART00000016632	ENSOARG00000015281	OVISARIES
ENSPCIT00000010037ENSPCIG00000006629_PHASCOLARCTOSCINEREUS	ENSPCIT00000010037	ENSPCIG00000006629	PHASCOLARCTOSCINEREUS
ENSPCIT00000010029ENSPCIG00000006629_PHASCOLARCTOSCINEREUS	ENSPCIT00000010029	ENSPCIG00000006629	PHASCOLARCTOSCINEREUS
ENSVURT00010020851ENSVURG00010013980_VOMBATUSURSINUS	ENSVURT00010020851	ENSVURG00010013980	VOMBATUSURSINUS
ENSVURT00010020837ENSVURG00010013980_VOMBATUSURSINUS	ENSVURT00010020837	ENSVURG00010013980	VOMBATUSURSINUS
ENSVURT00010020821ENSVURG00010013980_VOMBATUSURSINUS	ENSVURT00010020821	ENSVURG00010013980	VOMBATUSURSINUS
ENSMODT00000021371ENSMODG00000016826_MONODELPHISDOMESTICA	ENSMODT00000021371	ENSMODG00000016826	MONODELPHISDOMESTICA
ENSMODT00000053945ENSMODG00000016826_MONODELPHISDOMESTICA	ENSMODT00000053945	ENSMODG00000016826	MONODELPHISDOMESTICA
