FUNDULUSHETEROCLITUS	fundulus_heteroclitus
CYPRINODONVARIEGATUS	cyprinodon_variegatus
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
PUNDAMILIANYEREREI	pundamilia_nyererei
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
MAYLANDIAZEBRA	maylandia_zebra
HAPLOCHROMISBURTONI	haplochromis_burtoni
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
POECILIALATIPINNA	poecilia_latipinna
POECILIAMEXICANA	poecilia_mexicana
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
GAMBUSIAAFFINIS	gambusia_affinis
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
AMPHIPRIONOCELLARIS	amphiprion_ocellaris
AMPHIPRIONPERCULA	amphiprion_percula
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
STEGASTESPARTITUS	stegastes_partitus
ANABASTESTUDINEUS	anabas_testudineus
MASTACEMBELUSARMATUS	mastacembelus_armatus
SERIOLALALANDIDORSALIS	seriola_lalandi_dorsalis
LABRUSBERGYLTA	labrus_bergylta
