POECILIALATIPINNA	poecilia_latipinna
POECILIAFORMOSA	poecilia_formosa
POECILIARETICULATA	poecilia_reticulata
GAMBUSIAAFFINIS	gambusia_affinis
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
POECILIAMEXICANA	poecilia_mexicana
POECILIAMEXICANA	poecilia_mexicana
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
ORYZIASMELASTIGMA	oryzias_melastigma
AMPHIPRIONPERCULA	amphiprion_percula
AMPHIPRIONOCELLARIS	amphiprion_ocellaris
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
SERIOLADUMERILI	seriola_dumerili
SERIOLALALANDIDORSALIS	seriola_lalandi_dorsalis
ANABASTESTUDINEUS	anabas_testudineus
MOLAMOLA	mola_mola
ORYZIASMELASTIGMA	oryzias_melastigma
ORYZIASLATIPESASM223469V1	oryzias_latipes_asm223469v1
PUNDAMILIANYEREREI	pundamilia_nyererei
GAMBUSIAAFFINIS	gambusia_affinis
LABRUSBERGYLTA	labrus_bergylta
ESOXLUCIUS	esox_lucius
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
