RHINOPITHECUSBIETI	rhinopithecus_bieti
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
THEROPITHECUSGELADA	theropithecus_gelada
PAPIOANUBIS	papio_anubis
NOMASCUSLEUCOGENYS	nomascus_leucogenys
PANPANISCUS	pan_paniscus
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
AOTUSNANCYMAAE	aotus_nancymaae
MUSSPICILEGUS	mus_spicilegus
PEROMYSCUSMANICULATUSBAIRDII	peromyscus_maniculatus_bairdii
SPERMOPHILUSDAURICUS	spermophilus_dauricus
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
MERIONESUNGUICULATUS	meriones_unguiculatus
CRICETULUSGRISEUSCRIGRIPICR	cricetulus_griseus_crigri-picr
URSUSMARITIMUS	ursus_maritimus
NEOVISONVISON	neovison_vison
VULPESVULPES	vulpes_vulpes
SUSSCROFA	sus_scrofa
