SCLEROPAGESFORMOSUS	scleropages_formosus
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
ASTYANAXMEXICANUS	astyanax_mexicanus
PYGOCENTRUSNATTERERI	pygocentrus_nattereri
ICTALURUSPUNCTATUS	ictalurus_punctatus
DANIORERIO	danio_rerio
SERIOLADUMERILI	seriola_dumerili
SERIOLALALANDIDORSALIS	seriola_lalandi_dorsalis
SCOPHTHALMUSMAXIMUS	scophthalmus_maximus
MONOPTERUSALBUS	monopterus_albus
MASTACEMBELUSARMATUS	mastacembelus_armatus
ANABASTESTUDINEUS	anabas_testudineus
LABRUSBERGYLTA	labrus_bergylta
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
POECILIAFORMOSA	poecilia_formosa
POECILIALATIPINNA	poecilia_latipinna
POECILIAMEXICANA	poecilia_mexicana
POECILIARETICULATA	poecilia_reticulata
GAMBUSIAAFFINIS	gambusia_affinis
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
FUNDULUSHETEROCLITUS	fundulus_heteroclitus
CYPRINODONVARIEGATUS	cyprinodon_variegatus
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPESASM223469V1	oryzias_latipes_asm223469v1
ORYZIASLATIPES	oryzias_latipes
ORYZIASMELASTIGMA	oryzias_melastigma
PUNDAMILIANYEREREI	pundamilia_nyererei
HAPLOCHROMISBURTONI	haplochromis_burtoni
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
MAYLANDIAZEBRA	maylandia_zebra
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
OREOCHROMISNILOTICUS	oreochromis_niloticus
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
AMPHIPRIONOCELLARIS	amphiprion_ocellaris
AMPHIPRIONPERCULA	amphiprion_percula
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
STEGASTESPARTITUS	stegastes_partitus
HIPPOCAMPUSCOMES	hippocampus_comes
TETRAODONNIGROVIRIDIS	tetraodon_nigroviridis
TAKIFUGURUBRIPES	takifugu_rubripes
GADUSMORHUA	gadus_morhua
ESOXLUCIUS	esox_lucius
LEPISOSTEUSOCULATUS	lepisosteus_oculatus
MONODELPHISDOMESTICA	monodelphis_domestica
SARCOPHILUSHARRISII	sarcophilus_harrisii
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
MONODELPHISDOMESTICA	monodelphis_domestica
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
SARCOPHILUSHARRISII	sarcophilus_harrisii
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
CHRYSEMYSPICTABELLII	chrysemys_picta_bellii
GOPHERUSAGASSIZII	gopherus_agassizii
PELODISCUSSINENSIS	pelodiscus_sinensis
GALLUSGALLUS	gallus_gallus
NUMIDAMELEAGRIS	numida_meleagris
ANSERBRACHYRHYNCHUS	anser_brachyrhynchus
LONCHURASTRIATADOMESTICA	lonchura_striata_domestica
SERINUSCANARIA	serinus_canaria
ZONOTRICHIAALBICOLLIS	zonotrichia_albicollis
FICEDULAALBICOLLIS	ficedula_albicollis
APTERYXROWI	apteryx_rowi
DROMAIUSNOVAEHOLLANDIAE	dromaius_novaehollandiae
PETROMYZONMARINUS	petromyzon_marinus
EPTATRETUSBURGERI	eptatretus_burgeri
CIONAINTESTINALIS	ciona_intestinalis
CIONASAVIGNYI	ciona_savignyi
DROSOPHILAMELANOGASTER	drosophila_melanogaster
