EQUUSCABALLUS	equus_caballus
SUSSCROFA	sus_scrofa
CANISLUPUSFAMILIARIS	canis_lupus_familiaris
CANISLUPUSDINGO	canis_lupus_dingo
VULPESVULPES	vulpes_vulpes
MUSTELAPUTORIUSFURO	mustela_putorius_furo
VULPESVULPES	vulpes_vulpes
CANISLUPUSDINGO	canis_lupus_dingo
URSUSMARITIMUS	ursus_maritimus
OVISARIES	ovis_aries
OVISARIES	ovis_aries
CAPRAHIRCUS	capra_hircus
BOSTAURUS	bos_taurus
MONODELPHISDOMESTICA	monodelphis_domestica
SERINUSCANARIA	serinus_canaria
SCOPHTHALMUSMAXIMUS	scophthalmus_maximus
HIPPOCAMPUSCOMES	hippocampus_comes
HAPLOCHROMISBURTONI	haplochromis_burtoni
