FUNDULUSHETEROCLITUS	fundulus_heteroclitus
CYPRINODONVARIEGATUS	cyprinodon_variegatus
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
GAMBUSIAAFFINIS	gambusia_affinis
POECILIAFORMOSA	poecilia_formosa
POECILIAMEXICANA	poecilia_mexicana
POECILIALATIPINNA	poecilia_latipinna
POECILIARETICULATA	poecilia_reticulata
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
ORYZIASMELASTIGMA	oryzias_melastigma
ORYZIASLATIPES	oryzias_latipes
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
PUNDAMILIANYEREREI	pundamilia_nyererei
MAYLANDIAZEBRA	maylandia_zebra
HAPLOCHROMISBURTONI	haplochromis_burtoni
OREOCHROMISNILOTICUS	oreochromis_niloticus
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
AMPHIPRIONOCELLARIS	amphiprion_ocellaris
AMPHIPRIONPERCULA	amphiprion_percula
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
STEGASTESPARTITUS	stegastes_partitus
TETRAODONNIGROVIRIDIS	tetraodon_nigroviridis
TAKIFUGURUBRIPES	takifugu_rubripes
MOLAMOLA	mola_mola
GASTEROSTEUSACULEATUS	gasterosteus_aculeatus
SCOPHTHALMUSMAXIMUS	scophthalmus_maximus
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
SERIOLADUMERILI	seriola_dumerili
SERIOLALALANDI	seriola_lalandi
MASTACEMBELUSARMATUS	mastacembelus_armatus
MONOPTERUSALBUS	monopterus_albus
ANABASTESTUDINEUS	anabas_testudineus
PERIOPHTHALMUSMAGNUSPINNATUS	periophthalmus_magnuspinnatus
GADUSMORHUA	gadus_morhua
PYGOCENTRUSNATTERERI	pygocentrus_nattereri
ASTYANAXMEXICANUS	astyanax_mexicanus
ICTALURUSPUNCTATUS	ictalurus_punctatus
DANIORERIO	danio_rerio
ESOXLUCIUS	esox_lucius
HIPPOCAMPUSCOMES	hippocampus_comes
SCLEROPAGESFORMOSUS	scleropages_formosus
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
LEPISOSTEUSOCULATUS	lepisosteus_oculatus
ANOLISCAROLINENSIS	anolis_carolinensis
POGONAVITTICEPS	pogona_vitticeps
SALVATORMERIANAE	salvator_merianae
SPHENODONPUNCTATUS	sphenodon_punctatus
PELODISCUSSINENSIS	pelodiscus_sinensis
CHELONOIDISABINGDONII	chelonoidis_abingdonii
CROCODYLUSPOROSUS	crocodylus_porosus
LATIMERIACHALUMNAE	latimeria_chalumnae
