ANABASTESTUDINEUS	anabas_testudineus
MONOPTERUSALBUS	monopterus_albus
SERIOLADUMERILI	seriola_dumerili
SERIOLALALANDI	seriola_lalandi
SCOPHTHALMUSMAXIMUS	scophthalmus_maximus
LABRUSBERGYLTA	labrus_bergylta
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
AMPHIPRIONPERCULA	amphiprion_percula
STEGASTESPARTITUS	stegastes_partitus
POECILIAMEXICANA	poecilia_mexicana
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
ORYZIASLATIPES	oryzias_latipes
MAYLANDIAZEBRA	maylandia_zebra
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
PUNDAMILIANYEREREI	pundamilia_nyererei
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
HAPLOCHROMISBURTONI	haplochromis_burtoni
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
POECILIARETICULATA	poecilia_reticulata
GAMBUSIAAFFINIS	gambusia_affinis
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
LARIMICHTHYSCROCEA	larimichthys_crocea
CLUPEAHARENGUS	clupea_harengus
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
