GALLUSGALLUS	gallus_gallus
COTURNIXJAPONICA	coturnix_japonica
NUMIDAMELEAGRIS	numida_meleagris
SARCOPHILUSHARRISII	sarcophilus_harrisii
NOTAMACROPUSEUGENII	notamacropus_eugenii
CAVIAPORCELLUS	cavia_porcellus
CAVIAAPEREA	cavia_aperea
OCTODONDEGUS	octodon_degus
CHINCHILLALANIGERA	chinchilla_lanigera
HETEROCEPHALUSGLABERMALE	heterocephalus_glaber_male
HETEROCEPHALUSGLABERFEMALE	heterocephalus_glaber_female
FUKOMYSDAMARENSIS	fukomys_damarensis
ICTIDOMYSTRIDECEMLINEATUS	ictidomys_tridecemlineatus
UROCITELLUSPARRYII	urocitellus_parryii
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
ORYCTOLAGUSCUNICULUS	oryctolagus_cuniculus
OCHOTONAPRINCEPS	ochotona_princeps
SPERMOPHILUSDAURICUS	spermophilus_dauricus
NANNOSPALAXGALILI	nannospalax_galili
DIPODOMYSORDII	dipodomys_ordii
PROLEMURSIMUS	prolemur_simus
MICROCEBUSMURINUS	microcebus_murinus
PROPITHECUSCOQUERELI	propithecus_coquereli
HOMOSAPIENS	homo_sapiens
PANTROGLODYTES	pan_troglodytes
GORILLAGORILLA	gorilla_gorilla
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
MACACANEMESTRINA	macaca_nemestrina
MACACAFASCICULARIS	macaca_fascicularis
CHLOROCEBUSSABAEUS	chlorocebus_sabaeus
CERCOCEBUSATYS	cercocebus_atys
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
THEROPITHECUSGELADA	theropithecus_gelada
PAPIOANUBIS	papio_anubis
CEBUSCAPUCINUS	cebus_capucinus
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
CALLITHRIXJACCHUS	callithrix_jacchus
AOTUSNANCYMAAE	aotus_nancymaae
OTOLEMURGARNETTII	otolemur_garnettii
CARLITOSYRICHTA	carlito_syrichta
TUPAIABELANGERI	tupaia_belangeri
CAPRAHIRCUS	capra_hircus
OVISARIES	ovis_aries
BOSTAURUS	bos_taurus
BOSMUTUS	bos_mutus
BISONBISONBISON	bison_bison_bison
TURSIOPSTRUNCATUS	tursiops_truncatus
SUSSCROFA	sus_scrofa
URSUSMARITIMUS	ursus_maritimus
URSUSAMERICANUS	ursus_americanus
AILUROPODAMELANOLEUCA	ailuropoda_melanoleuca
CANISLUPUSFAMILIARIS	canis_lupus_familiaris
CANISLUPUSDINGO	canis_lupus_dingo
VULPESVULPES	vulpes_vulpes
MUSTELAPUTORIUSFURO	mustela_putorius_furo
NEOVISONVISON	neovison_vison
FELISCATUS	felis_catus
FELISCATUS	felis_catus
PANTHERAPARDUS	panthera_pardus
EQUUSASINUSASINUS	equus_asinus_asinus
EQUUSCABALLUS	equus_caballus
PTEROPUSVAMPYRUS	pteropus_vampyrus
MYOTISLUCIFUGUS	myotis_lucifugus
PROCAVIACAPENSIS	procavia_capensis
PROCAVIACAPENSIS	procavia_capensis
LOXODONTAAFRICANA	loxodonta_africana
ECHINOPSTELFAIRI	echinops_telfairi
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
CASTORCANADENSIS	castor_canadensis
JACULUSJACULUS	jaculus_jaculus
CRICETULUSGRISEUSCRIGRIPICR	cricetulus_griseus_crigri-picr
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
PEROMYSCUSMANICULATUSBAIRDII	peromyscus_maniculatus_bairdii
MICROTUSOCHROGASTER	microtus_ochrogaster
MUSMUSCULUS	mus_musculus
MUSSPRETUSSTRAINSPRETEIJ	mus_spretus_strain_spret/eij
MUSSPICILEGUS	mus_spicilegus
MUSCAROLISTRAINCAROLIEIJ	mus_caroli_strain_caroli_eij
MUSPAHARI	mus_pahari
RATTUSNORVEGICUS	rattus_norvegicus
MERIONESUNGUICULATUS	meriones_unguiculatus
MERIONESUNGUICULATUS	meriones_unguiculatus
XENOPUSTROPICALIS	xenopus_tropicalis
GOPHERUSAGASSIZII	gopherus_agassizii
CHELONOIDISABINGDONII	chelonoidis_abingdonii
CHRYSEMYSPICTABELLII	chrysemys_picta_bellii
PELODISCUSSINENSIS	pelodiscus_sinensis
POGONAVITTICEPS	pogona_vitticeps
NOTECHISSCUTATUS	notechis_scutatus
XENOPUSTROPICALIS	xenopus_tropicalis
DANIORERIO	danio_rerio
ICTALURUSPUNCTATUS	ictalurus_punctatus
LABRUSBERGYLTA	labrus_bergylta
GASTEROSTEUSACULEATUS	gasterosteus_aculeatus
STEGASTESPARTITUS	stegastes_partitus
FUNDULUSHETEROCLITUS	fundulus_heteroclitus
TAKIFUGURUBRIPES	takifugu_rubripes
LEPISOSTEUSOCULATUS	lepisosteus_oculatus
XENOPUSTROPICALIS	xenopus_tropicalis
EPTATRETUSBURGERI	eptatretus_burgeri
PETROMYZONMARINUS	petromyzon_marinus
