MERIONESUNGUICULATUS	meriones_unguiculatus
MUSSPICILEGUS	mus_spicilegus
HETEROCEPHALUSGLABERMALE	heterocephalus_glaber_male
HETEROCEPHALUSGLABERFEMALE	heterocephalus_glaber_female
OCTODONDEGUS	octodon_degus
SPHENODONPUNCTATUS	sphenodon_punctatus
SPHENODONPUNCTATUS	sphenodon_punctatus
SPHENODONPUNCTATUS	sphenodon_punctatus
SPHENODONPUNCTATUS	sphenodon_punctatus
POGONAVITTICEPS	pogona_vitticeps
POGONAVITTICEPS	pogona_vitticeps
POGONAVITTICEPS	pogona_vitticeps
NOTECHISSCUTATUS	notechis_scutatus
SALVATORMERIANAE	salvator_merianae
POGONAVITTICEPS	pogona_vitticeps
GOPHERUSAGASSIZII	gopherus_agassizii
GOPHERUSAGASSIZII	gopherus_agassizii
GOPHERUSAGASSIZII	gopherus_agassizii
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
POECILIAMEXICANA	poecilia_mexicana
