ENSETET00000017072ENSETEG00000017072_ECHINOPSTELFAIRI	ENSETET00000017072	ENSETEG00000017072	ECHINOPSTELFAIRI
ENSVPAT00000004935ENSVPAG00000004935_VICUGNAPACOS	ENSVPAT00000004935	ENSVPAG00000004935	VICUGNAPACOS
ENSSMRT00000012386ENSSMRG00000008419_SALVATORMERIANAE	ENSSMRT00000012386	ENSSMRG00000008419	SALVATORMERIANAE
ENSCMIT00000022507ENSCMIG00000009869_CALLORHINCHUSMILII	ENSCMIT00000022507	ENSCMIG00000009869	CALLORHINCHUSMILII
ENSCMIT00000022426ENSCMIG00000009869_CALLORHINCHUSMILII	ENSCMIT00000022426	ENSCMIG00000009869	CALLORHINCHUSMILII
ENSCMIT00000022502ENSCMIG00000009869_CALLORHINCHUSMILII	ENSCMIT00000022502	ENSCMIG00000009869	CALLORHINCHUSMILII
ENSLACT00000006293ENSLACG00000005535_LATIMERIACHALUMNAE	ENSLACT00000006293	ENSLACG00000005535	LATIMERIACHALUMNAE
ENSLACT00000006292ENSLACG00000005535_LATIMERIACHALUMNAE	ENSLACT00000006292	ENSLACG00000005535	LATIMERIACHALUMNAE
ENSGAGT00000029949ENSGAGG00000019111_GOPHERUSAGASSIZII	ENSGAGT00000029949	ENSGAGG00000019111	GOPHERUSAGASSIZII
ENSECRT00000016493ENSECRG00000010797_ERPETOICHTHYSCALABARICUS	ENSECRT00000016493	ENSECRG00000010797	ERPETOICHTHYSCALABARICUS
ENSGAGT00000029945ENSGAGG00000019111_GOPHERUSAGASSIZII	ENSGAGT00000029945	ENSGAGG00000019111	GOPHERUSAGASSIZII
ENSGAGT00000029947ENSGAGG00000019111_GOPHERUSAGASSIZII	ENSGAGT00000029947	ENSGAGG00000019111	GOPHERUSAGASSIZII
ENSCJPT00005008263ENSCJPG00005004870_COTURNIXJAPONICA	ENSCJPT00005008263	ENSCJPG00005004870	COTURNIXJAPONICA
ENSGAGT00000030021ENSGAGG00000019111_GOPHERUSAGASSIZII	ENSGAGT00000030021	ENSGAGG00000019111	GOPHERUSAGASSIZII
ENSGAGT00000030024ENSGAGG00000019111_GOPHERUSAGASSIZII	ENSGAGT00000030024	ENSGAGG00000019111	GOPHERUSAGASSIZII
ENSECRT00000016507ENSECRG00000010797_ERPETOICHTHYSCALABARICUS	ENSECRT00000016507	ENSECRG00000010797	ERPETOICHTHYSCALABARICUS
ENSCMIT00000022515ENSCMIG00000009869_CALLORHINCHUSMILII	ENSCMIT00000022515	ENSCMIG00000009869	CALLORHINCHUSMILII
ENSCMIT00000022512ENSCMIG00000009869_CALLORHINCHUSMILII	ENSCMIT00000022512	ENSCMIG00000009869	CALLORHINCHUSMILII
ENSLOCT00000020266ENSLOCG00000016380_LEPISOSTEUSOCULATUS	ENSLOCT00000020266	ENSLOCG00000016380	LEPISOSTEUSOCULATUS
ENSECRT00000016489ENSECRG00000010797_ERPETOICHTHYSCALABARICUS	ENSECRT00000016489	ENSECRG00000010797	ERPETOICHTHYSCALABARICUS
ENSGAGT00000030042ENSGAGG00000019111_GOPHERUSAGASSIZII	ENSGAGT00000030042	ENSGAGG00000019111	GOPHERUSAGASSIZII
ENSGAGT00000029957ENSGAGG00000019111_GOPHERUSAGASSIZII	ENSGAGT00000029957	ENSGAGG00000019111	GOPHERUSAGASSIZII
