TAKIFUGURUBRIPES	takifugu_rubripes
PERIOPHTHALMUSMAGNUSPINNATUS	periophthalmus_magnuspinnatus
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
FUNDULUSHETEROCLITUS	fundulus_heteroclitus
GADUSMORHUA	gadus_morhua
CYPRINODONVARIEGATUS	cyprinodon_variegatus
PERIOPHTHALMUSMAGNUSPINNATUS	periophthalmus_magnuspinnatus
GADUSMORHUA	gadus_morhua
ASTYANAXMEXICANUS	astyanax_mexicanus
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
MERIONESUNGUICULATUS	meriones_unguiculatus
CASTORCANADENSIS	castor_canadensis
CAVIAPORCELLUS	cavia_porcellus
CAVIAAPEREA	cavia_aperea
OTOLEMURGARNETTII	otolemur_garnettii
NOMASCUSLEUCOGENYS	nomascus_leucogenys
CANISLUPUSFAMILIARIS	canis_lupus_familiaris
URSUSAMERICANUS	ursus_americanus
BOSTAURUS	bos_taurus
BOSMUTUS	bos_mutus
CHELONOIDISABINGDONII	chelonoidis_abingdonii
SPHENODONPUNCTATUS	sphenodon_punctatus
TAENIOPYGIAGUTTATA	taeniopygia_guttata
PETROMYZONMARINUS	petromyzon_marinus
CIONAINTESTINALIS	ciona_intestinalis
CIONASAVIGNYI	ciona_savignyi
